ticker,scan_date,current_price,prior_close,gap_percent,atr,current_overnight_volume,prior_overnight_volume,prior_regular_volume,short_interest,days_to_cover,short_data_date,relative_overnight_volume,relative_volume,gap_magnitude,ranking_score,rank
NVDA,2025-09-09 12:00:00+00:00,174.22,168.31,3.511377814746596,5.209228114462628,147615966.0,148650989.0,279036724.0,0,0,,0.9930372276231543,0.5290198504480722,3.511377814746596,147615971.0334349,1
PLTR,2025-09-09 12:00:00+00:00,163.77,156.1,4.913516976297256,8.24184058267031,57971573.0,45657034.0,101163320.0,0,0,,1.2697183308052817,0.5730493325051017,4.913516976297256,57971579.75628464,2
UNH,2025-09-09 12:00:00+00:00,347.8,320.25,8.602654176424672,8.535531468107356,44594471.0,17231337.0,58572397.0,0,0,,2.587986701206064,0.7613564286945607,8.602654176424672,44594482.9519973,3
AMD,2025-09-09 12:00:00+00:00,159.6,151.41,5.409153952843272,6.269997714098049,41166335.0,39898126.0,77587080.0,0,0,,1.0317861796315948,0.5305823469577666,5.409153952843272,41166341.97152248,4
ORCL,2025-09-09 12:00:00+00:00,310.0,238.48,29.989936262999002,8.908788650095946,40154545.0,17592134.0,39635183.0,0,0,,2.282528373192246,1.0131035600365463,29.989936262999002,40154578.28556819,5
GOOGL,2025-09-09 12:00:00+00:00,239.85,234.04,2.4824816270722962,5.657013578429357,34573442.0,28966136.0,61864619.0,0,0,,1.1935814290176638,0.5588564604269203,2.4824816270722962,34573446.23491952,6
GOOG,2025-09-09 12:00:00+00:00,240.2,234.16,2.5794328664161226,5.59256854517225,20970888.0,19747458.0,39472632.0,0,0,,1.0619537967874144,0.531276657710588,2.5794328664161226,20970892.172663324,7
MU,2025-09-09 12:00:00+00:00,136.11,131.46,3.5371976266545,4.82223207279722,19553551.0,16807549.0,35428638.0,0,0,,1.1633790863855282,0.5519137089040792,3.5371976266545,19553556.252490424,8
WFC,2025-09-09 12:00:00+00:00,80.7399,79.14,2.021607278241098,2.0368529793105594,14885342.0,13032315.0,27697024.0,0,0,,1.1421870941578685,0.537434707786656,2.021607278241098,14885345.70122908,9
APH,2025-09-09 12:00:00+00:00,118.68,110.54,7.363850189976478,3.4147433211356297,13092192.0,7202000.0,20155144.0,0,0,,1.8178550402665925,0.6495707497798081,7.363850189976478,13092201.831275979,10
ALB,2025-09-09 12:00:00+00:00,72.45,82.0,-11.64634146341463,3.562374844225335,12914627.0,2188206.0,14802856.0,0,0,,5.901924681679878,0.8724415747880003,11.64634146341463,12914645.42070772,11
ETSY,2025-09-09 12:00:00+00:00,55.98,58.2,-3.8144329896907316,2.2254026545331196,7516759.0,8613164.0,16067321.0,0,0,,0.8727058953016569,0.4678290176688447,3.8144329896907316,7516764.154967903,12
DLTR,2025-09-09 12:00:00+00:00,96.52,99.4,-2.8973843058350197,3.878194334507646,6844028.0,6574785.0,13334813.0,0,0,,1.0409508447804756,0.5132451426202977,2.8973843058350197,6844032.4515802935,13
MS,2025-09-09 12:00:00+00:00,152.11,148.79,2.231332750856927,3.4127792744841465,5723658.0,3161458.0,8844828.0,0,0,,1.810448849866106,0.6471191977955931,2.231332750856927,5723662.688900799,14
ANET,2025-09-09 12:00:00+00:00,149.5,140.01,6.778087279480044,4.465814141945634,5572241.0,6468183.0,11860045.0,0,0,,0.861484747725907,0.4698330402624948,6.778087279480044,5572249.109405068,15
WDC,2025-09-09 12:00:00+00:00,96.44,93.29,3.376567692142771,2.5733952395691975,5244368.0,7550342.0,12724677.0,0,0,,0.6945868147429614,0.4121415419817729,3.376567692142771,5244372.483296049,16
UAL,2025-09-09 12:00:00+00:00,105.5,107.77,-2.1063375707525247,2.926355384057222,5010807.0,4910747.0,9839332.0,0,0,,1.0203757188061204,0.5092629255725897,2.1063375707525247,5010810.635976215,17
HUM,2025-09-09 12:00:00+00:00,274.0,310.38,-11.721116051291963,7.707480189258947,4624541.0,964465.0,5546284.0,0,0,,4.794928794720389,0.8338089070087287,11.721116051291963,4624558.349853753,18
VST,2025-09-09 12:00:00+00:00,196.4,188.01,4.462528588904854,8.746718191712304,4341122.0,3600195.0,7716442.0,0,0,,1.2058019079522082,0.5625807852893859,4.462528588904854,4341128.230911283,19
DG,2025-09-09 12:00:00+00:00,104.63,108.72,-3.7619573215599735,3.2155719622094816,3937235.0,2861193.0,6758682.0,0,0,,1.3760815855484059,0.5825447920171418,3.7619573215599735,3937240.720583699,20
TER,2025-09-09 12:00:00+00:00,114.78,118.9,-3.4650967199327205,3.9456532707681884,3711882.0,3038027.0,6710528.0,0,0,,1.221806784468999,0.5531430611719376,3.4650967199327205,3711887.240046566,21
DHI,2025-09-09 12:00:00+00:00,177.9899,184.04,-3.2873831775700864,4.484116887336473,3497636.0,3017015.0,6488066.0,0,0,,1.15930348374138,0.5390876110076562,3.2873831775700864,3497640.985774272,22
VLO,2025-09-09 12:00:00+00:00,162.9,157.36,3.520589730554138,3.768970250240645,3365282.0,2160825.0,5471418.0,0,0,,1.5574060833246561,0.6150657836780155,3.520589730554138,3365287.6930615976,23
LEN,2025-09-09 12:00:00+00:00,138.0,142.4,-3.089887640449442,3.655386829851315,3292877.0,2484923.0,5743716.0,0,0,,1.3251424692032712,0.5733008038698292,3.089887640449442,3292881.9883309137,24
PHM,2025-09-09 12:00:00+00:00,137.0,141.42,-3.1254419459765157,3.428785036035439,2776981.0,1580268.0,4268735.0,0,0,,1.7572848402929124,0.6505395626573212,3.1254419459765157,2776986.5332663488,25
DHR,2025-09-09 12:00:00+00:00,194.35,198.63,-2.154760106731109,5.009533761382094,2644712.0,2949423.0,5579894.0,0,0,,0.8966879284524465,0.4739717277783413,2.154760106731109,2644715.5254197633,26
GS,2025-09-09 12:00:00+00:00,763.38,741.85,2.902203949585492,18.628441631977214,2275204.0,967338.0,3237029.0,0,0,,2.352025868931025,0.7028679693632649,2.902203949585492,2275209.957097788,27
PSX,2025-09-09 12:00:00+00:00,135.0,130.21,3.6786729129867073,2.622369028944702,2151057.0,1941812.0,4080323.0,0,0,,1.1077575996028453,0.5271781180068342,3.6786729129867073,2151062.3136086306,28
SWK,2025-09-09 12:00:00+00:00,76.66,78.42,-2.2443254271869484,2.4834354529029197,2066765.0,2764116.0,4827479.0,0,0,,0.7477128311546983,0.4281251145784373,2.2443254271869484,2066768.420163373,29
SNPS,2025-09-09 12:00:00+00:00,487.99,609.08,-19.880803835292575,16.220631664634357,1997956.0,1128806.0,2561608.0,0,0,,1.7699728739925196,0.7799616490891659,19.880803835292575,1997978.4307383585,30
BLDR,2025-09-09 12:00:00+00:00,140.5,147.89,-4.996957197917363,5.079428626792124,1918900.0,1140657.0,3052739.0,0,0,,1.6822760917611517,0.6285830527929182,4.996957197917363,1918907.3078163427,31
SHW,2025-09-09 12:00:00+00:00,361.95,375.23,-3.539162646909903,6.718768076962539,1826458.0,1184038.0,3003479.0,0,0,,1.542567045990078,0.6081141236546019,3.539162646909903,1826463.6898438164,32
