================================================================================
EPOCH BACKTEST WORKSHEET REPORT
Generated for Claude AI Review
================================================================================
Report Generated: 2026-01-14 13:16:25
Workbook: epoch_v1.xlsm
Worksheet: backtest

PURPOSE: This report contains raw data and summary statistics from
the backtest worksheet for validation and analysis by Claude AI.
================================================================================

SUMMARY STATISTICS
----------------------------------------
Total Trades:    287
Wins:            82
Losses:          205
Win Rate:        28.6%
Total P&L:       -54.41R
Average R:       -0.19R
Profit Factor:   0.77
Gross Profit:    +181.84R
Gross Loss:      +236.24R

BY MODEL:
  EPCH4: 40 trades, 57% WR, +40.56R
  EPCH3: 3 trades, 0% WR, -3.00R
  EPCH2: 229 trades, 25% WR, -81.48R
  EPCH1: 15 trades, 13% WR, -10.48R

BY EXIT REASON:
  STOP: 147 trades, -147.00R
  TARGET_3R: 44 trades, +132.00R
  EOD: 91 trades, -56.74R
  TARGET_CALC: 5 trades, +17.33R

BY DIRECTION:
  SHORT: 145 trades, 24% WR, -50.15R
  LONG: 142 trades, 33% WR, -4.25R

RAW DATA
----------------------------------------
|trade_id|date|ticker|model|zone_type|direction|zone_high|zone_low|entry_price|entry_time|stop_price|target_3r|target_calc|target_used|exit_price|exit_time|exit_reason|pnl_dollars|pnl_r|risk|win|
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
|AAPL_011426_EPCH4_0930|2026-01-14 00:00:00|AAPL|EPCH4|SECONDARY|SHORT|260.6400|259.8200|259.7699|0.3958|260.6835|257.0291|273.8200|257.0291|260.6835|0.3993|STOP|-0.9136|-1.0000|0.9136|0.0000|
|AAPL_011426_EPCH4_0930|2026-01-14 00:00:00|AAPL|EPCH4|SECONDARY|SHORT|260.6400|259.8200|259.3730|0.3960|260.7034|255.3819|273.8200|255.3819|260.7034|0.3993|STOP|-1.3304|-1.0000|1.3304|0.0000|
|AAPL_011426_EPCH4_0931|2026-01-14 00:00:00|AAPL|EPCH4|SECONDARY|SHORT|260.6400|259.8200|259.7500|0.3970|260.6845|256.9465|273.8200|256.9465|260.6845|0.3993|STOP|-0.9345|-1.0000|0.9345|0.0000|
|AAPL_011426_EPCH3_0932|2026-01-14 00:00:00|AAPL|EPCH3|SECONDARY|LONG|260.6400|259.8200|260.6700|0.3972|259.7775|263.3475|273.8200|273.8200|259.7775|0.4062|STOP|-0.8925|-1.0000|0.8925|0.0000|
|AAPL_011426_EPCH4_0932|2026-01-14 00:00:00|AAPL|EPCH4|SECONDARY|LONG|260.6400|259.8200|260.7100|0.3974|259.7755|263.5135|273.8200|273.8200|259.7755|0.4062|STOP|-0.9345|-1.0000|0.9345|0.0000|
|AAPL_011426_EPCH4_0932|2026-01-14 00:00:00|AAPL|EPCH4|SECONDARY|LONG|260.6400|259.8200|260.9100|0.3976|259.7655|264.3435|273.8200|273.8200|259.7655|0.4062|STOP|-1.1445|-1.0000|1.1445|0.0000|
|AAPL_011426_EPCH4_0940|2026-01-14 00:00:00|AAPL|EPCH4|SECONDARY|LONG|260.6400|259.8200|260.7500|0.4031|259.7735|263.6795|273.8200|273.8200|259.7735|0.4062|STOP|-0.9765|-1.0000|0.9765|0.0000|
|AAPL_011426_EPCH3_0945|2026-01-14 00:00:00|AAPL|EPCH3|SECONDARY|SHORT|260.6400|259.8200|259.7400|0.4066|260.6850|256.9050|273.8200|256.9050|260.6850|0.4271|STOP|-0.9450|-1.0000|0.9450|0.0000|
|AAPL_011426_EPCH4_0946|2026-01-14 00:00:00|AAPL|EPCH4|SECONDARY|SHORT|260.6400|259.8200|259.7450|0.4073|260.6848|256.9257|273.8200|256.9257|260.6848|0.4271|STOP|-0.9398|-1.0000|0.9398|0.0000|
|AAPL_011426_EPCH4_0948|2026-01-14 00:00:00|AAPL|EPCH4|SECONDARY|SHORT|260.6400|259.8200|259.6650|0.4085|260.6887|256.5938|273.8200|256.5938|260.6887|0.4271|STOP|-1.0237|-1.0000|1.0237|0.0000|
|AAPL_011426_EPCH4_0950|2026-01-14 00:00:00|AAPL|EPCH4|SECONDARY|SHORT|260.6400|259.8200|259.6350|0.4097|260.6902|256.4692|273.8200|256.4692|260.6902|0.4271|STOP|-1.0553|-1.0000|1.0553|0.0000|
|AAPL_011426_EPCH4_0956|2026-01-14 00:00:00|AAPL|EPCH4|SECONDARY|SHORT|260.6400|259.8200|259.7800|0.4144|260.6830|257.0710|273.8200|257.0710|260.6830|0.4271|STOP|-0.9030|-1.0000|0.9030|0.0000|
|AAPL_011426_EPCH4_0957|2026-01-14 00:00:00|AAPL|EPCH4|SECONDARY|SHORT|260.6400|259.8200|259.7650|0.4146|260.6837|257.0088|273.8200|257.0088|260.6837|0.4271|STOP|-0.9187|-1.0000|0.9187|0.0000|
|AAPL_011426_EPCH4_1007|2026-01-14 00:00:00|AAPL|EPCH4|SECONDARY|SHORT|260.6400|259.8200|259.8150|0.4215|260.6812|257.2163|273.8200|257.2163|260.6812|0.4271|STOP|-0.8662|-1.0000|0.8662|0.0000|
