================================================================================
EPOCH BACKTEST WORKSHEET REPORT
Generated for Claude AI Review
================================================================================
Report Generated: 2025-12-27 23:41:13
Workbook: epoch_v1.xlsm
Worksheet: backtest

PURPOSE: This report contains raw data and summary statistics from
the backtest worksheet for validation and analysis by Claude AI.
================================================================================

SUMMARY STATISTICS
----------------------------------------
Total Trades:    181
Wins:            41
Losses:          140
Win Rate:        22.7%
Total P&L:       -87.52R
Average R:       -0.48R
Profit Factor:   0.37
Gross Profit:    +51.86R
Gross Loss:      +139.39R

BY MODEL:
  EPCH2: 91 trades, 32% WR, -27.75R
  EPCH1: 14 trades, 21% WR, -7.54R
  EPCH4: 64 trades, 8% WR, -51.60R
  EPCH3: 12 trades, 33% WR, -0.62R

BY EXIT REASON:
  STOP: 139 trades, -139.00R
  EOD: 40 trades, +45.48R
  TARGET_3R: 2 trades, +6.00R

BY DIRECTION:
  SHORT: 99 trades, 37% WR, -14.33R
  LONG: 82 trades, 5% WR, -73.19R

RAW DATA
----------------------------------------
|trade_id|date|ticker|model|zone_type|direction|zone_high|zone_low|entry_price|entry_time|stop_price|target_3r|target_calc|target_used|exit_price|exit_time|exit_reason|pnl_dollars|pnl_r|risk|win|
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
|AKAM_121525_EPCH2_0935|2025-12-15 00:00:00|AKAM|EPCH2|PRIMARY|SHORT|89.6600|89.3400|89.2500|0.3997|89.7100|87.8700|90.9500|87.8700|89.7100|0.4028|STOP|-0.4600|-1.0000|0.4600|0.0000|
|AKAM_121525_EPCH1_0936|2025-12-15 00:00:00|AKAM|EPCH1|PRIMARY|LONG|89.6600|89.3400|89.6950|0.4003|89.2900|90.9100|90.9500|90.9500|89.2900|0.4062|STOP|-0.4050|-1.0000|0.4050|0.0000|
|AKAM_121525_EPCH2_0937|2025-12-15 00:00:00|AKAM|EPCH2|PRIMARY|LONG|89.6600|89.3400|89.9300|0.4009|89.2900|91.8500|90.9500|91.8500|89.2900|0.4062|STOP|-0.6400|-1.0000|0.6400|0.0000|
|AKAM_121525_EPCH2_0938|2025-12-15 00:00:00|AKAM|EPCH2|PRIMARY|LONG|89.6600|89.3400|89.6800|0.4017|89.2900|90.8500|90.9500|90.9500|89.2900|0.4062|STOP|-0.3900|-1.0000|0.3900|0.0000|
|AKAM_121525_EPCH2_0939|2025-12-15 00:00:00|AKAM|EPCH2|PRIMARY|LONG|89.6600|89.3400|89.7300|0.4026|89.2900|91.0500|90.9500|91.0500|89.2900|0.4062|STOP|-0.4400|-1.0000|0.4400|0.0000|
|AKAM_121525_EPCH2_0941|2025-12-15 00:00:00|AKAM|EPCH2|PRIMARY|LONG|89.6600|89.3400|89.6900|0.4036|89.2900|90.8900|90.9500|90.9500|89.2900|0.4062|STOP|-0.4000|-1.0000|0.4000|0.0000|
|AKAM_121525_EPCH1_0945|2025-12-15 00:00:00|AKAM|EPCH1|PRIMARY|SHORT|89.6600|89.3400|89.0500|0.4064|89.7100|87.0700|90.9500|87.0700|89.7100|0.4097|STOP|-0.6600|-1.0000|0.6600|0.0000|
|AKAM_121525_EPCH2_0947|2025-12-15 00:00:00|AKAM|EPCH2|PRIMARY|SHORT|89.6600|89.3400|89.2700|0.4078|89.7100|87.9500|90.9500|87.9500|89.7100|0.4097|STOP|-0.4400|-1.0000|0.4400|0.0000|
|AKAM_121525_EPCH2_0950|2025-12-15 00:00:00|AKAM|EPCH2|PRIMARY|LONG|89.6600|89.3400|89.6700|0.4099|89.2900|90.8100|90.9500|90.9500|89.2900|0.4132|STOP|-0.3800|-1.0000|0.3800|0.0000|
|AKAM_121525_EPCH1_0951|2025-12-15 00:00:00|AKAM|EPCH1|PRIMARY|SHORT|89.6600|89.3400|89.3300|0.4108|89.7100|88.1900|90.9500|88.1900|89.7100|0.4132|STOP|-0.3800|-1.0000|0.3800|0.0000|
|AKAM_121525_EPCH1_0954|2025-12-15 00:00:00|AKAM|EPCH1|PRIMARY|LONG|89.6600|89.3400|89.7100|0.4128|89.2900|90.9700|90.9500|90.9700|89.2900|0.4132|STOP|-0.4200|-1.0000|0.4200|0.0000|
|AKAM_121525_EPCH1_0959|2025-12-15 00:00:00|AKAM|EPCH1|PRIMARY|SHORT|89.6600|89.3400|89.3300|0.4161|89.7100|88.1900|90.9500|88.1900|89.7100|0.4167|STOP|-0.3800|-1.0000|0.3800|0.0000|
|AKAM_121525_EPCH2_0959|2025-12-15 00:00:00|AKAM|EPCH2|PRIMARY|SHORT|89.6600|89.3400|89.3000|0.4163|89.7100|88.0700|90.9500|88.0700|89.7100|0.4167|STOP|-0.4100|-1.0000|0.4100|0.0000|
|AKAM_121525_EPCH2_0956|2025-12-15 00:00:00|AKAM|EPCH2|PRIMARY|LONG|89.6600|89.3400|89.7600|0.4139|89.2900|91.1700|90.9500|91.1700|89.2900|0.4201|STOP|-0.4700|-1.0000|0.4700|0.0000|
|AKAM_121525_EPCH1_1000|2025-12-15 00:00:00|AKAM|EPCH1|PRIMARY|LONG|89.6600|89.3400|89.9000|0.4170|89.2900|91.7300|90.9500|91.7300|89.2900|0.4201|STOP|-0.6100|-1.0000|0.6100|0.0000|
|AKAM_121525_EPCH2_1005|2025-12-15 00:00:00|AKAM|EPCH2|PRIMARY|LONG|89.6600|89.3400|89.7100|0.4201|89.2900|90.9700|90.9500|90.9700|89.2900|0.4236|STOP|-0.4200|-1.0000|0.4200|0.0000|
|AKAM_121525_EPCH2_1005|2025-12-15 00:00:00|AKAM|EPCH2|PRIMARY|LONG|89.6600|89.3400|89.6601|0.4207|89.2900|90.7704|90.9500|90.9500|89.2900|0.4236|STOP|-0.3701|-1.0000|0.3701|0.0000|
|AKAM_121525_EPCH2_1006|2025-12-15 00:00:00|AKAM|EPCH2|PRIMARY|LONG|89.6600|89.3400|89.7200|0.4208|89.2900|91.0100|90.9500|91.0100|89.2900|0.4236|STOP|-0.4300|-1.0000|0.4300|0.0000|
|AKAM_121525_EPCH2_1006|2025-12-15 00:00:00|AKAM|EPCH2|PRIMARY|LONG|89.6600|89.3400|89.7300|0.4210|89.2900|91.0500|90.9500|91.0500|89.2900|0.4236|STOP|-0.4400|-1.0000|0.4400|0.0000|
|AKAM_121525_EPCH1_1007|2025-12-15 00:00:00|AKAM|EPCH1|PRIMARY|SHORT|89.6600|89.3400|89.3150|0.4219|89.7100|88.1300|90.9500|88.1300|89.7100|0.4375|STOP|-0.3950|-1.0000|0.3950|0.0000|
|AKAM_121525_EPCH2_1007|2025-12-15 00:00:00|AKAM|EPCH2|PRIMARY|SHORT|89.6600|89.3400|89.2950|0.4220|89.7100|88.0500|90.9500|88.0500|89.7100|0.4375|STOP|-0.4150|-1.0000|0.4150|0.0000|
