================================================================================
EPOCH OPTIMAL TRADE WORKSHEET REPORT
Generated for Claude AI Review
================================================================================
Report Generated: 2025-12-27 23:41:15
Workbook: epoch_v1.xlsm
Worksheet: optimal_trade
Schema: v3.1 (45 columns, A-AS)

PURPOSE: This report contains expanded analysis data for each bar
of each trade, enabling AI-driven pattern discovery for exit optimization.

STRUCTURE: 1 row per bar per trade (~N trades x ~28 bars = 1,500+ rows)
Each row answers: 'If I exited HERE, what would happen?'
================================================================================

SUMMARY STATISTICS
----------------------------------------
Total Decision Points: 497
Unique Trades:         107
Avg Bars per Trade:    4.6

Avg R if Exit:         +100.99R
Avg MFE R:             +83.30R
Avg Actual R:          +0.00R
Capture Rate:          0.0%

WIN/LOSS (by exit rows):
  Wins:                0
  Losses:              0
  Win Rate:            0.0%

DECAY ANALYSIS (Post-MFE):
  Post-MFE Rows:       0
  Avg R Given Back:    0.00R
  First Flip Events:   0
  Avg R at First Flip: +0.00R

HEALTH SCORE -> AVERAGE R IF EXIT:
  Health 0: 497 bars, +100.99R avg, 62% win

RAW DATA
----------------------------------------
|Trade_ID|Date|Ticker|Direction|Model|Entry_Health|Entry_Label|Entry_VWAP|Entry_Trend|Entry_Structure|Bar_Seq|Bar_Time|Bars_From_Entry|Bars_From_MFE|Event_Type|Price|R_If_Exit|Health|VWAP|SMA9|SMA21|Volume|Swing_High|Health_vs_Entry|R_vs_MFE|R_vs_Actual|Is_MFE|Is_Exit|Is_Post_MFE|Bars_After_MFE|R_Given_Back|Health_at_MFE|Health_Decay|VWAP_Same|SMA_Same|Structure_Same|CVD_Same|Is_First_Flip|Actual_Exit_Price|Actual_Exit_Time|Actual_R|Exit_Reason|MFE_R|MAE_R|Win|
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
|AKAM_121525_EPCH2_0935|2025-12-15 00:00:00|AKAM|SHORT|EPCH2|0.0000|ENTRY|0.3997|0.0000|89.2500|0.0000|1.0000|0.0000|STABLE|0.0000|0.0000|0.0000|0.0000|FLAT|0.0000|0.0000|0.0000|NEUTRAL|NEUTRAL|NEUTRAL|BULL|-1.0000|STOP||||||||||||||||||
|AKAM_121525_EPCH2_0935|2025-12-15 00:00:00|AKAM|SHORT|EPCH2|0.0000|MFE|0.4000|2.0000|85.0000|9.2391|0.0000|-1.0000|STABLE|89.3730|88.2417|0.0000|0.0000|FLAT|0.0000|0.0000|0.0000|NEUTRAL|NEUTRAL|NEUTRAL|NEUTRAL|-1.0000|STOP||||||||||||||||||
|AKAM_121525_EPCH2_0935|2025-12-15 00:00:00|AKAM|SHORT|EPCH2|0.0000|MAE|0.4026|16.0000|90.0400|-1.7174|1.0000|0.0000|STABLE|89.3730|88.2417|0.0000|0.0000|FLAT|0.0000|0.0000|0.0000|NEUTRAL|NEUTRAL|NEUTRAL|NEUTRAL|-1.0000|STOP||||||||||||||||||
|AKAM_121525_EPCH2_0935|2025-12-15 00:00:00|AKAM|SHORT|EPCH2|0.0000|EXIT|0.4028|17.0000|89.7100|-1.0000|2.0000|1.0000|STABLE|89.3730|88.2417|0.0000|0.0000|FLAT|0.0000|0.0000|0.0000|NEUTRAL|NEUTRAL|NEUTRAL|NEUTRAL|-1.0000|STOP||||||||||||||||||
|AKAM_121525_EPCH1_0936|2025-12-15 00:00:00|AKAM|LONG|EPCH1|0.0000|ENTRY|0.4003|0.0000|89.6950|0.0000|6.0000|0.0000|STABLE|0.0000|0.0000|0.0000|0.0000|FLAT|0.0000|0.0000|0.0000|NEUTRAL|NEUTRAL|NEUTRAL|BULL|-1.0000|STOP||||||||||||||||||
|AKAM_121525_EPCH1_0936|2025-12-15 00:00:00|AKAM|LONG|EPCH1|0.0000|MAE|0.4010|2.0000|85.0000|-11.5926|1.0000|-5.0000|STABLE|89.3765|88.5372|0.0000|0.0000|FLAT|0.0000|0.0000|0.0000|NEUTRAL|NEUTRAL|NEUTRAL|NEUTRAL|-1.0000|STOP||||||||||||||||||
|AKAM_121525_EPCH1_0936|2025-12-15 00:00:00|AKAM|LONG|EPCH1|0.0000|MFE|0.4056|16.0000|90.0400|0.8519|4.0000|-2.0000|STABLE|89.3765|88.5372|0.0000|0.0000|FLAT|0.0000|0.0000|0.0000|NEUTRAL|NEUTRAL|NEUTRAL|NEUTRAL|-1.0000|STOP||||||||||||||||||
|AKAM_121525_EPCH1_0936|2025-12-15 00:00:00|AKAM|LONG|EPCH1|0.0000|EXIT|0.4062|18.0000|89.2900|-1.0000|4.0000|-2.0000|STABLE|89.3765|88.5372|0.0000|0.0000|FLAT|0.0000|0.0000|0.0000|NEUTRAL|NEUTRAL|NEUTRAL|NEUTRAL|-1.0000|STOP||||||||||||||||||
|AKAM_121525_EPCH2_0937|2025-12-15 00:00:00|AKAM|LONG|EPCH2|0.0000|ENTRY|0.4009|0.0000|89.9300|0.0000|6.0000|0.0000|STABLE|0.0000|0.0000|0.0000|0.0000|FLAT|0.0000|0.0000|0.0000|NEUTRAL|NEUTRAL|NEUTRAL|BULL|-1.0000|STOP||||||||||||||||||
|AKAM_121525_EPCH2_0937|2025-12-15 00:00:00|AKAM|LONG|EPCH2|0.0000|MAE|0.4015|2.0000|85.0000|-7.7031|1.0000|-5.0000|STABLE|89.3765|88.5372|0.0000|0.0000|FLAT|0.0000|0.0000|0.0000|NEUTRAL|NEUTRAL|NEUTRAL|NEUTRAL|-1.0000|STOP||||||||||||||||||
|AKAM_121525_EPCH2_0937|2025-12-15 00:00:00|AKAM|LONG|EPCH2|0.0000|MFE|0.4056|16.0000|90.0400|0.1719|4.0000|-2.0000|STABLE|89.3765|88.5372|0.0000|0.0000|FLAT|0.0000|0.0000|0.0000|NEUTRAL|NEUTRAL|NEUTRAL|NEUTRAL|-1.0000|STOP||||||||||||||||||
|AKAM_121525_EPCH2_0937|2025-12-15 00:00:00|AKAM|LONG|EPCH2|0.0000|EXIT|0.4062|18.0000|89.2900|-1.0000|4.0000|-2.0000|STABLE|89.3765|88.5372|0.0000|0.0000|FLAT|0.0000|0.0000|0.0000|NEUTRAL|NEUTRAL|NEUTRAL|NEUTRAL|-1.0000|STOP||||||||||||||||||
|AKAM_121525_EPCH2_0938|2025-12-15 00:00:00|AKAM|LONG|EPCH2|0.0000|ENTRY|0.4017|0.0000|89.6800|0.0000|6.0000|0.0000|STABLE|0.0000|0.0000|0.0000|0.0000|FLAT|0.0000|0.0000|0.0000|NEUTRAL|NEUTRAL|NEUTRAL|BULL|-1.0000|STOP||||||||||||||||||
|AKAM_121525_EPCH2_0938|2025-12-15 00:00:00|AKAM|LONG|EPCH2|0.0000|MAE|0.4022|2.0000|85.0000|-12.0000|1.0000|-5.0000|STABLE|89.3765|88.5372|0.0000|0.0000|FLAT|0.0000|0.0000|0.0000|NEUTRAL|NEUTRAL|NEUTRAL|NEUTRAL|-1.0000|STOP||||||||||||||||||
|AKAM_121525_EPCH2_0938|2025-12-15 00:00:00|AKAM|LONG|EPCH2|0.0000|MFE|0.4057|16.0000|90.0400|0.9231|4.0000|-2.0000|STABLE|89.3765|88.5372|0.0000|0.0000|FLAT|0.0000|0.0000|0.0000|NEUTRAL|NEUTRAL|NEUTRAL|NEUTRAL|-1.0000|STOP||||||||||||||||||
|AKAM_121525_EPCH2_0938|2025-12-15 00:00:00|AKAM|LONG|EPCH2|0.0000|EXIT|0.4062|18.0000|89.2900|-1.0000|4.0000|-2.0000|STABLE|89.3765|88.5372|0.0000|0.0000|FLAT|0.0000|0.0000|0.0000|NEUTRAL|NEUTRAL|NEUTRAL|NEUTRAL|-1.0000|STOP||||||||||||||||||
|AKAM_121525_EPCH2_0939|2025-12-15 00:00:00|AKAM|LONG|EPCH2|0.0000|ENTRY|0.4026|0.0000|89.7300|0.0000|6.0000|0.0000|STABLE|0.0000|0.0000|0.0000|0.0000|FLAT|0.0000|0.0000|0.0000|NEUTRAL|NEUTRAL|NEUTRAL|BULL|-1.0000|STOP||||||||||||||||||
|AKAM_121525_EPCH2_0939|2025-12-15 00:00:00|AKAM|LONG|EPCH2|0.0000|MAE|0.4030|2.0000|85.0000|-10.7500|1.0000|-5.0000|STABLE|89.3765|88.5372|0.0000|0.0000|FLAT|0.0000|0.0000|0.0000|NEUTRAL|NEUTRAL|NEUTRAL|NEUTRAL|-1.0000|STOP||||||||||||||||||
|AKAM_121525_EPCH2_0939|2025-12-15 00:00:00|AKAM|LONG|EPCH2|0.0000|MFE|0.4058|16.0000|90.0400|0.7045|4.0000|-2.0000|STABLE|89.3765|88.5372|0.0000|0.0000|FLAT|0.0000|0.0000|0.0000|NEUTRAL|NEUTRAL|NEUTRAL|NEUTRAL|-1.0000|STOP||||||||||||||||||
|AKAM_121525_EPCH2_0939|2025-12-15 00:00:00|AKAM|LONG|EPCH2|0.0000|EXIT|0.4062|18.0000|89.2900|-1.0000|4.0000|-2.0000|STABLE|89.3765|88.5372|0.0000|0.0000|FLAT|0.0000|0.0000|0.0000|NEUTRAL|NEUTRAL|NEUTRAL|NEUTRAL|-1.0000|STOP||||||||||||||||||
|AKAM_121525_EPCH2_0941|2025-12-15 00:00:00|AKAM|LONG|EPCH2|0.0000|ENTRY|0.4036|0.0000|89.6900|0.0000|5.0000|0.0000|STABLE|0.0000|0.0000|0.0000|0.0000|FLAT|0.0000|0.0000|0.0000|NEUTRAL|NEUTRAL|NEUTRAL|BULL|-1.0000|STOP||||||||||||||||||
|AKAM_121525_EPCH2_0941|2025-12-15 00:00:00|AKAM|LONG|EPCH2|0.0000|MAE|0.4039|2.0000|85.0000|-11.7250|1.0000|-4.0000|STABLE|89.3765|88.5372|0.0000|0.0000|FLAT|0.0000|0.0000|0.0000|NEUTRAL|NEUTRAL|NEUTRAL|NEUTRAL|-1.0000|STOP||||||||||||||||||
