================================================================================
EPOCH BACKTEST WORKSHEET REPORT
Generated for Claude AI Review
================================================================================
Report Generated: 2025-12-29 10:26:16
Workbook: epoch_v1.xlsm
Worksheet: backtest

PURPOSE: This report contains raw data and summary statistics from
the backtest worksheet for validation and analysis by Claude AI.
================================================================================

SUMMARY STATISTICS
----------------------------------------
Total Trades:    328
Wins:            72
Losses:          256
Win Rate:        22.0%
Total P&L:       -37.60R
Average R:       -0.11R
Profit Factor:   0.80
Gross Profit:    +153.55R
Gross Loss:      +191.15R

BY MODEL:
  EPCH2: 174 trades, 23% WR, -14.70R
  EPCH1: 18 trades, 22% WR, -4.60R
  EPCH4: 131 trades, 20% WR, -16.80R
  EPCH3: 5 trades, 40% WR, -1.51R

BY EXIT REASON:
  STOP: 184 trades, -184.00R
  EOD: 144 trades, +146.40R

BY DIRECTION:
  LONG: 108 trades, 37% WR, +57.89R
  SHORT: 220 trades, 15% WR, -95.50R

RAW DATA
----------------------------------------
|trade_id|date|ticker|model|zone_type|direction|zone_high|zone_low|entry_price|entry_time|stop_price|target_3r|target_calc|target_used|exit_price|exit_time|exit_reason|pnl_dollars|pnl_r|risk|win|
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
|AMZN_121625_EPCH2_0930|2025-12-16 00:00:00|AMZN|EPCH2|PRIMARY|LONG|223.0200|222.1400|223.0900|0.3960|222.0900|226.0900|216.4800|226.0900|222.0900|0.3993|STOP|-1.0000|-1.0000|1.0000|0.0000|
|AMZN_121625_EPCH2_0930|2025-12-16 00:00:00|AMZN|EPCH2|PRIMARY|LONG|223.0200|222.1400|223.2300|0.3962|222.0900|226.6500|216.4800|226.6500|222.0900|0.3993|STOP|-1.1400|-1.0000|1.1400|0.0000|
|AMZN_121625_EPCH2_0930|2025-12-16 00:00:00|AMZN|EPCH2|PRIMARY|LONG|223.0200|222.1400|223.1700|0.3964|222.0900|226.4100|216.4800|226.4100|222.0900|0.3993|STOP|-1.0800|-1.0000|1.0800|0.0000|
|AMZN_121625_EPCH2_0931|2025-12-16 00:00:00|AMZN|EPCH2|PRIMARY|LONG|223.0200|222.1400|223.0300|0.3967|222.0900|225.8500|216.4800|225.8500|222.0900|0.3993|STOP|-0.9400|-1.0000|0.9400|0.0000|
|AMZN_121625_EPCH2_0931|2025-12-16 00:00:00|AMZN|EPCH2|PRIMARY|LONG|223.0200|222.1400|223.0950|0.3969|222.0900|226.1100|216.4800|226.1100|222.0900|0.3993|STOP|-1.0050|-1.0000|1.0050|0.0000|
|AMZN_121625_EPCH2_0935|2025-12-16 00:00:00|AMZN|EPCH2|PRIMARY|SHORT|223.0200|222.1400|222.1208|0.3997|223.0700|219.2732|216.4800|216.4800|223.0700|0.4028|STOP|-0.9492|-1.0000|0.9492|0.0000|
|AMZN_121625_EPCH1_0936|2025-12-16 00:00:00|AMZN|EPCH1|PRIMARY|LONG|223.0200|222.1400|223.1100|0.4005|222.0900|226.1700|216.4800|226.1700|222.0900|0.4062|STOP|-1.0200|-1.0000|1.0200|0.0000|
|AMZN_121625_EPCH2_0937|2025-12-16 00:00:00|AMZN|EPCH2|PRIMARY|LONG|223.0200|222.1400|223.0700|0.4009|222.0900|226.0100|216.4800|226.0100|222.0900|0.4062|STOP|-0.9800|-1.0000|0.9800|0.0000|
|AMZN_121625_EPCH2_0939|2025-12-16 00:00:00|AMZN|EPCH2|PRIMARY|LONG|223.0200|222.1400|223.0500|0.4023|222.0900|225.9300|216.4800|225.9300|222.0900|0.4062|STOP|-0.9600|-1.0000|0.9600|0.0000|
