================================================================================
EPOCH OPTIONS ANALYSIS WORKSHEET REPORT
Generated for Claude AI Review
================================================================================
Report Generated: 2025-12-29 10:26:17
Workbook: epoch_v1.xlsm
Worksheet: options_analysis
Schema: v1.0 (22 columns, A-V)

PURPOSE: This report contains options analysis data comparing
options performance to underlying equity trades for each backtest trade.

STRUCTURE: 1 row per trade with options P&L and R-multiple comparison.
================================================================================

SUMMARY STATISTICS
----------------------------------------
Total Trades:          328
Successful:            328
Failed (No Data):      0

P&L METRICS (Successful Trades Only):
  Total P&L:           $13,937.00
  Avg P&L:             $42.49
  Avg Return:          0.5%

R-MULTIPLE METRICS:
  Total Options R:     +13.85R
  Avg Options R:       +0.04R
  Best Options R:      +2.69R
  Worst Options R:     -1.14R
  Avg Underlying R:    -0.11R
  Avg R Multiplier:    1.47x

WIN/LOSS ANALYSIS:
  Wins:                72
  Losses:              256
  Win Rate:            22.0%
  Outperformed Equity: 77/328

DIRECTION BREAKDOWN:
  LONG: 108 trades, +0.52R avg, 37% win
  SHORT: 220 trades, -0.19R avg, 15% win

CONTRACT TYPE BREAKDOWN:
  CALL: 108 trades, +0.52R avg, 37% win
  PUT: 220 trades, -0.19R avg, 15% win

STATUS BREAKDOWN:
  SUCCESS: 328

RAW DATA
----------------------------------------
|Trade_ID|Ticker|Direction|Entry_Date|Entry_Time|Entry_Price|Options_Ticker|Strike|Expiration|Contract_Type|Option_Entry_Price|Option_Entry_Time|Option_Exit_Price|Option_Exit_Time|PnL_Dollars|PnL_Percent|Option_R|Net_Return|Underlying_R|R_Multiplier|Win|Status|
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
|AMZN_121625_EPCH2_0930|AMZN|LONG|2025-12-16 00:00:00|0.3960|223.09|O:AMZN260102C00222500|222.5000|2026-01-02 00:00:00|CALL|5.5|0.3960|5.05|0.3993|-45|-0.0818|-0.4500|-0.0818|-1.0000|0.4500|0.0000|SUCCESS|
|AMZN_121625_EPCH2_0930|AMZN|LONG|2025-12-16 00:00:00|0.3962|223.23|O:AMZN260102C00222500|222.5000|2026-01-02 00:00:00|CALL|5.5|0.3962|5.05|0.3993|-45|-0.0818|-0.3947|-0.0818|-1.0000|0.3947|0.0000|SUCCESS|
|AMZN_121625_EPCH2_0930|AMZN|LONG|2025-12-16 00:00:00|0.3964|223.17|O:AMZN260102C00222500|222.5000|2026-01-02 00:00:00|CALL|5.55|0.3964|5.05|0.3993|-50|-0.0901|-0.4630|-0.0901|-1.0000|0.4630|0.0000|SUCCESS|
|AMZN_121625_EPCH2_0931|AMZN|LONG|2025-12-16 00:00:00|0.3967|223.03|O:AMZN260102C00222500|222.5000|2026-01-02 00:00:00|CALL|5.55|0.3967|5.05|0.3993|-50|-0.0901|-0.5319|-0.0901|-1.0000|0.5319|0.0000|SUCCESS|
|AMZN_121625_EPCH2_0931|AMZN|LONG|2025-12-16 00:00:00|0.3969|223.095|O:AMZN260102C00222500|222.5000|2026-01-02 00:00:00|CALL|5.55|0.3969|5.05|0.3993|-50|-0.0901|-0.4975|-0.0901|-1.0000|0.4975|0.0000|SUCCESS|
|AMZN_121625_EPCH2_0935|AMZN|SHORT|2025-12-16 00:00:00|0.3997|222.1208|O:AMZN260102P00222500|222.5000|2026-01-02 00:00:00|PUT|4.5|0.3997|4.7|0.4028|20|0.0444|0.2107|0.0444|-1.0000|-0.2107|0.0000|SUCCESS|
|AMZN_121625_EPCH1_0936|AMZN|LONG|2025-12-16 00:00:00|0.4005|223.11|O:AMZN260102C00222500|222.5000|2026-01-02 00:00:00|CALL|5.37|0.4005|5.1|0.4062|-27|-0.0503|-0.2647|-0.0503|-1.0000|0.2647|0.0000|SUCCESS|
|AMZN_121625_EPCH2_0937|AMZN|LONG|2025-12-16 00:00:00|0.4009|223.07|O:AMZN260102C00222500|222.5000|2026-01-02 00:00:00|CALL|5.55|0.4009|5.1|0.4062|-45|-0.0811|-0.4592|-0.0811|-1.0000|0.4592|0.0000|SUCCESS|
|AMZN_121625_EPCH2_0939|AMZN|LONG|2025-12-16 00:00:00|0.4023|223.05|O:AMZN260102C00222500|222.5000|2026-01-02 00:00:00|CALL|5.7|0.4023|5.1|0.4062|-60|-0.1053|-0.6250|-0.1053|-1.0000|0.6250|0.0000|SUCCESS|
|AMZN_121625_EPCH2_0939|AMZN|LONG|2025-12-16 00:00:00|0.4024|223.0616|O:AMZN260102C00222500|222.5000|2026-01-02 00:00:00|CALL|5.55|0.4024|5.1|0.4062|-45|-0.0811|-0.4632|-0.0811|-1.0000|0.4632|0.0000|SUCCESS|
|AMZN_121625_EPCH1_0945|AMZN|SHORT|2025-12-16 00:00:00|0.4064|222.11|O:AMZN260102P00222500|222.5000|2026-01-02 00:00:00|PUT|4.8|0.4064|4.56|0.4097|-24|-0.0500|-0.2500|-0.0500|-1.0000|0.2500|0.0000|SUCCESS|
|AMZN_121625_EPCH2_0945|AMZN|SHORT|2025-12-16 00:00:00|0.4066|222.135|O:AMZN260102P00222500|222.5000|2026-01-02 00:00:00|PUT|4.8|0.4066|4.56|0.4097|-24|-0.0500|-0.2567|-0.0500|-1.0000|0.2567|0.0000|SUCCESS|
|AMZN_121625_EPCH2_0946|AMZN|SHORT|2025-12-16 00:00:00|0.4069|222.135|O:AMZN260102P00222500|222.5000|2026-01-02 00:00:00|PUT|4.8|0.4069|4.56|0.4097|-24|-0.0500|-0.2567|-0.0500|-1.0000|0.2567|0.0000|SUCCESS|
|AMZN_121625_EPCH2_0946|AMZN|SHORT|2025-12-16 00:00:00|0.4075|222.1289|O:AMZN260102P00222500|222.5000|2026-01-02 00:00:00|PUT|4.8|0.4075|4.56|0.4097|-24|-0.0500|-0.2550|-0.0500|-1.0000|0.2550|0.0000|SUCCESS|
|AMZN_121625_EPCH1_0951|AMZN|LONG|2025-12-16 00:00:00|0.4108|223.0537|O:AMZN260102C00222500|222.5000|2026-01-02 00:00:00|CALL|5.45|0.4108|5.05|0.4340|-40|-0.0734|-0.4151|-0.0734|-1.0000|0.4151|0.0000|SUCCESS|
|AMZN_121625_EPCH2_0956|AMZN|LONG|2025-12-16 00:00:00|0.4139|223.06|O:AMZN260102C00222500|222.5000|2026-01-02 00:00:00|CALL|5.75|0.4139|5.05|0.4340|-70|-0.1217|-0.7216|-0.1217|-1.0000|0.7216|0.0000|SUCCESS|
|AMZN_121625_EPCH2_0956|AMZN|LONG|2025-12-16 00:00:00|0.4141|223.11|O:AMZN260102C00222500|222.5000|2026-01-02 00:00:00|CALL|5.75|0.4141|5.05|0.4340|-70|-0.1217|-0.6863|-0.1217|-1.0000|0.6863|0.0000|SUCCESS|
|AMZN_121625_EPCH2_0957|AMZN|LONG|2025-12-16 00:00:00|0.4146|223.14|O:AMZN260102C00222500|222.5000|2026-01-02 00:00:00|CALL|5.75|0.4146|5.05|0.4340|-70|-0.1217|-0.6667|-0.1217|-1.0000|0.6667|0.0000|SUCCESS|
|AMZN_121625_EPCH2_1006|AMZN|LONG|2025-12-16 00:00:00|0.4213|223.075|O:AMZN260102C00222500|222.5000|2026-01-02 00:00:00|CALL|5.35|0.4213|5.05|0.4340|-30|-0.0561|-0.3046|-0.0561|-1.0000|0.3046|0.0000|SUCCESS|
