================================================================================
EPOCH BACKTEST WORKSHEET REPORT
Generated for Claude AI Review
================================================================================
Report Generated: 2025-12-31 07:32:15
Workbook: epoch_v1.xlsm
Worksheet: backtest

PURPOSE: This report contains raw data and summary statistics from
the backtest worksheet for validation and analysis by Claude AI.
================================================================================

SUMMARY STATISTICS
----------------------------------------
Total Trades:    213
Wins:            101
Losses:          112
Win Rate:        47.4%
Total P&L:       +139.60R
Average R:       +0.66R
Profit Factor:   2.25
Gross Profit:    +251.60R
Gross Loss:      +112.00R

BY MODEL:
  EPCH2: 131 trades, 66% WR, +187.11R
  EPCH3: 8 trades, 38% WR, +0.68R
  EPCH4: 67 trades, 13% WR, -48.88R
  EPCH1: 7 trades, 29% WR, +0.70R

BY EXIT REASON:
  STOP: 112 trades, -112.00R
  TARGET_3R: 38 trades, +114.00R
  EOD: 63 trades, +137.60R

BY DIRECTION:
  LONG: 92 trades, 13% WR, -61.35R
  SHORT: 121 trades, 74% WR, +200.95R

RAW DATA
----------------------------------------
|trade_id|date|ticker|model|zone_type|direction|zone_high|zone_low|entry_price|entry_time|stop_price|target_3r|target_calc|target_used|exit_price|exit_time|exit_reason|pnl_dollars|pnl_r|risk|win|
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
|AVGO_121725_EPCH2_0936|2025-12-17 00:00:00|AVGO|EPCH2|PRIMARY|LONG|337.1500|334.2500|337.5600|0.4005|334.2000|347.6400|306.3900|347.6400|334.2000|0.4028|STOP|-3.3600|-1.0000|3.3600|0.0000|
|AVGO_121725_EPCH2_0937|2025-12-17 00:00:00|AVGO|EPCH2|PRIMARY|LONG|337.1500|334.2500|337.4700|0.4009|334.2000|347.2800|306.3900|347.2800|334.2000|0.4028|STOP|-3.2700|-1.0000|3.2700|0.0000|
|AVGO_121725_EPCH2_0938|2025-12-17 00:00:00|AVGO|EPCH2|PRIMARY|LONG|337.1500|334.2500|337.4650|0.4014|334.2000|347.2600|306.3900|347.2600|334.2000|0.4028|STOP|-3.2650|-1.0000|3.2650|0.0000|
|AVGO_121725_EPCH2_0938|2025-12-17 00:00:00|AVGO|EPCH2|PRIMARY|LONG|337.1500|334.2500|337.2750|0.4017|334.2000|346.5000|306.3900|346.5000|334.2000|0.4028|STOP|-3.0750|-1.0000|3.0750|0.0000|
|AVGO_121725_EPCH2_0938|2025-12-17 00:00:00|AVGO|EPCH2|PRIMARY|LONG|337.1500|334.2500|337.2425|0.4019|334.2000|346.3700|306.3900|346.3700|334.2000|0.4028|STOP|-3.0425|-1.0000|3.0425|0.0000|
|AVGO_121725_EPCH3_0930|2025-12-17 00:00:00|AVGO|EPCH3|SECONDARY|SHORT|346.5700|343.6700|343.2000|0.3962|346.6200|332.9400|360.0000|332.9400|332.9400|0.4062|TARGET_3R|10.2600|3.0000|3.4200|1.0000|
|AVGO_121725_EPCH4_0931|2025-12-17 00:00:00|AVGO|EPCH4|SECONDARY|SHORT|346.5700|343.6700|342.2175|0.3970|346.6200|329.0100|360.0000|329.0100|329.0100|0.4410|TARGET_3R|13.2075|3.0000|4.4025|1.0000|
|AVGO_121725_EPCH2_0942|2025-12-17 00:00:00|AVGO|EPCH2|PRIMARY|SHORT|337.1500|334.2500|333.9100|0.4043|337.2000|324.0400|306.3900|306.3900|326.0400|0.6597|EOD|7.8700|2.3921|3.2900|1.0000|
|AVGO_121725_EPCH2_0942|2025-12-17 00:00:00|AVGO|EPCH2|PRIMARY|SHORT|337.1500|334.2500|334.1600|0.4047|337.2000|325.0400|306.3900|306.3900|326.0400|0.6597|EOD|8.1200|2.6711|3.0400|1.0000|
|AVGO_121725_EPCH2_0943|2025-12-17 00:00:00|AVGO|EPCH2|PRIMARY|SHORT|337.1500|334.2500|333.9700|0.4049|337.2000|324.2800|306.3900|306.3900|326.0400|0.6597|EOD|7.9300|2.4551|3.2300|1.0000|
|AVGO_121725_EPCH2_0943|2025-12-17 00:00:00|AVGO|EPCH2|PRIMARY|SHORT|337.1500|334.2500|333.9715|0.4054|337.2000|324.2860|306.3900|306.3900|326.0400|0.6597|EOD|7.9315|2.4567|3.2285|1.0000|
|AVGO_121725_EPCH2_0944|2025-12-17 00:00:00|AVGO|EPCH2|PRIMARY|SHORT|337.1500|334.2500|334.0175|0.4056|337.2000|324.4700|306.3900|306.3900|326.0400|0.6597|EOD|7.9775|2.5067|3.1825|1.0000|
|AVGO_121725_EPCH2_0944|2025-12-17 00:00:00|AVGO|EPCH2|PRIMARY|SHORT|337.1500|334.2500|334.1550|0.4057|337.2000|325.0200|306.3900|306.3900|326.0400|0.6597|EOD|8.1150|2.6650|3.0450|1.0000|
|AVGO_121725_EPCH2_0945|2025-12-17 00:00:00|AVGO|EPCH2|PRIMARY|SHORT|337.1500|334.2500|334.0264|0.4064|337.2000|324.5056|306.3900|306.3900|326.0400|0.6597|EOD|7.9864|2.5165|3.1736|1.0000|
|AVGO_121725_EPCH2_0945|2025-12-17 00:00:00|AVGO|EPCH2|PRIMARY|SHORT|337.1500|334.2500|334.0500|0.4068|337.2000|324.6000|306.3900|306.3900|326.0400|0.6597|EOD|8.0100|2.5429|3.1500|1.0000|
