================================================================================
EPOCH OPTIMAL TRADE WORKSHEET REPORT
Generated for Claude AI Review
================================================================================
Report Generated: 2025-12-31 07:32:15
Workbook: epoch_v1.xlsm
Worksheet: optimal_trade
Schema: v3.1 (45 columns, A-AS)

PURPOSE: This report contains expanded analysis data for each bar
of each trade, enabling AI-driven pattern discovery for exit optimization.

STRUCTURE: 1 row per bar per trade (~N trades x ~28 bars = 1,500+ rows)
Each row answers: 'If I exited HERE, what would happen?'
================================================================================

SUMMARY STATISTICS
----------------------------------------
Total Decision Points: 640
Unique Trades:         160
Avg Bars per Trade:    4.0

Avg R if Exit:         +246.42R
Avg MFE R:             +260.16R
Avg Actual R:          +0.00R
Capture Rate:          0.0%

WIN/LOSS (by exit rows):
  Wins:                0
  Losses:              0
  Win Rate:            0.0%

DECAY ANALYSIS (Post-MFE):
  Post-MFE Rows:       0
  Avg R Given Back:    0.00R
  First Flip Events:   0
  Avg R at First Flip: +0.00R

HEALTH SCORE -> AVERAGE R IF EXIT:
  Health 2: 18 bars, +258.16R avg, 100% win
  Health 1: 43 bars, +280.90R avg, 100% win
  Health 0: 439 bars, +237.03R avg, 100% win
  Health -1: 77 bars, +225.90R avg, 100% win
  Health -2: 24 bars, +275.69R avg, 100% win
  Health -3: 19 bars, +322.12R avg, 100% win
  Health -4: 8 bars, +339.88R avg, 100% win
  Health -5: 12 bars, +339.62R avg, 100% win

RAW DATA
----------------------------------------
|Trade_ID|Date|Ticker|Direction|Model|Entry_Health|Entry_Label|Entry_VWAP|Entry_Trend|Entry_Structure|Bar_Seq|Bar_Time|Bars_From_Entry|Bars_From_MFE|Event_Type|Price|R_If_Exit|Health|VWAP|SMA9|SMA21|Volume|Swing_High|Health_vs_Entry|R_vs_MFE|R_vs_Actual|Is_MFE|Is_Exit|Is_Post_MFE|Bars_After_MFE|R_Given_Back|Health_at_MFE|Health_Decay|VWAP_Same|SMA_Same|Structure_Same|CVD_Same|Is_First_Flip|Actual_Exit_Price|Actual_Exit_Time|Actual_R|Exit_Reason|MFE_R|MAE_R|Win|
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
|AVGO_121725_EPCH2_0936|2025-12-17 00:00:00|AVGO|LONG|EPCH2|0.0000|ENTRY|2025-12-17 09:40:00|0.0000|334.5800|-0.8869|3.0000|0.0000|STABLE|338.9516|341.9147|342.8413|-0.9266|WIDENING|449.9600|-2887073.0000|-0.7733|BEAR|BULL|BEAR|BEAR|-1.0000|STOP||||||||||||||||||
|AVGO_121725_EPCH2_0936|2025-12-17 00:00:00|AVGO|LONG|EPCH2|0.0000|MFE|2025-12-17 09:40:00|0.0000|336.2200|-0.8869|3.0000|0.0000|STABLE|338.9516|341.9147|342.8413|-0.9266|WIDENING|449.9600|-2887073.0000|-0.7733|BEAR|BULL|BEAR|BEAR|-1.0000|STOP||||||||||||||||||
|AVGO_121725_EPCH2_0936|2025-12-17 00:00:00|AVGO|LONG|EPCH2|0.0000|MAE|2025-12-17 09:40:00|0.0000|333.6201|-0.8869|3.0000|0.0000|STABLE|338.9516|341.9147|342.8413|-0.9266|WIDENING|449.9600|-2887073.0000|-0.7733|BEAR|BULL|BEAR|BEAR|-1.0000|STOP||||||||||||||||||
|AVGO_121725_EPCH2_0936|2025-12-17 00:00:00|AVGO|LONG|EPCH2|0.0000|EXIT|2025-12-17 09:40:00|0.0000|334.5800|-0.8869|3.0000|0.0000|STABLE|338.9516|341.9147|342.8413|-0.9266|WIDENING|449.9600|-2887073.0000|-0.7733|BEAR|BULL|BEAR|BEAR|-1.0000|STOP||||||||||||||||||
|AVGO_121725_EPCH2_0937|2025-12-17 00:00:00|AVGO|LONG|EPCH2|0.0000|ENTRY|2025-12-17 09:40:00|0.0000|334.5800|-0.8838|3.0000|0.0000|STABLE|338.9516|341.9147|342.8413|-0.9266|WIDENING|449.9600|-2887073.0000|-0.7733|BEAR|BULL|BEAR|BEAR|-1.0000|STOP||||||||||||||||||
|AVGO_121725_EPCH2_0937|2025-12-17 00:00:00|AVGO|LONG|EPCH2|0.0000|MFE|2025-12-17 09:40:00|0.0000|336.2200|-0.8838|3.0000|0.0000|STABLE|338.9516|341.9147|342.8413|-0.9266|WIDENING|449.9600|-2887073.0000|-0.7733|BEAR|BULL|BEAR|BEAR|-1.0000|STOP||||||||||||||||||
|AVGO_121725_EPCH2_0937|2025-12-17 00:00:00|AVGO|LONG|EPCH2|0.0000|MAE|2025-12-17 09:40:00|0.0000|333.6201|-0.8838|3.0000|0.0000|STABLE|338.9516|341.9147|342.8413|-0.9266|WIDENING|449.9600|-2887073.0000|-0.7733|BEAR|BULL|BEAR|BEAR|-1.0000|STOP||||||||||||||||||
|AVGO_121725_EPCH2_0937|2025-12-17 00:00:00|AVGO|LONG|EPCH2|0.0000|EXIT|2025-12-17 09:40:00|0.0000|334.5800|-0.8838|3.0000|0.0000|STABLE|338.9516|341.9147|342.8413|-0.9266|WIDENING|449.9600|-2887073.0000|-0.7733|BEAR|BULL|BEAR|BEAR|-1.0000|STOP||||||||||||||||||
|AVGO_121725_EPCH2_0938|2025-12-17 00:00:00|AVGO|LONG|EPCH2|0.0000|ENTRY|2025-12-17 09:40:00|0.0000|334.5800|-0.8751|3.0000|0.0000|STABLE|338.9516|341.9147|342.8413|-0.9266|WIDENING|449.9600|-2887073.0000|-0.7733|BEAR|BULL|BEAR|BEAR|-1.0000|STOP||||||||||||||||||
