================================================================================
EPOCH OPTIONS ANALYSIS WORKSHEET REPORT
Generated for Claude AI Review
================================================================================
Report Generated: 2025-12-31 07:32:16
Workbook: epoch_v1.xlsm
Worksheet: options_analysis
Schema: v1.0 (22 columns, A-V)

PURPOSE: This report contains options analysis data comparing
options performance to underlying equity trades for each backtest trade.

STRUCTURE: 1 row per trade with options P&L and R-multiple comparison.
================================================================================

SUMMARY STATISTICS
----------------------------------------
Total Trades:          213
Successful:            213
Failed (No Data):      0

P&L METRICS (Successful Trades Only):
  Total P&L:           $26,741.00
  Avg P&L:             $125.54
  Avg Return:          10.9%

R-MULTIPLE METRICS:
  Total Options R:     +108.51R
  Avg Options R:       +0.51R
  Best Options R:      +2.27R
  Worst Options R:     -0.70R
  Avg Underlying R:    +0.66R
  Avg R Multiplier:    0.31x

WIN/LOSS ANALYSIS:
  Wins:                101
  Losses:              112
  Win Rate:            47.4%
  Outperformed Equity: 2/213

DIRECTION BREAKDOWN:
  LONG: 92 trades, -0.13R avg, 13% win
  SHORT: 121 trades, +1.00R avg, 74% win

CONTRACT TYPE BREAKDOWN:
  CALL: 92 trades, -0.13R avg, 13% win
  PUT: 121 trades, +1.00R avg, 74% win

STATUS BREAKDOWN:
  SUCCESS: 213

RAW DATA
----------------------------------------
|Trade_ID|Ticker|Direction|Entry_Date|Entry_Time|Entry_Price|Options_Ticker|Strike|Expiration|Contract_Type|Option_Entry_Price|Option_Entry_Time|Option_Exit_Price|Option_Exit_Time|PnL_Dollars|PnL_Percent|Option_R|Net_Return|Underlying_R|R_Multiplier|Win|Status|
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
|AVGO_121725_EPCH2_0936|AVGO|LONG|2025-12-17 00:00:00|0.4005|337.56|O:AVGO260102C00337500|337.5000|2026-01-02 00:00:00|CALL|11.4|0.4005|10.22|0.4028|-118|-0.1035|-0.3512|-0.1035|-1.0000|0.3512|0.0000|SUCCESS|
|AVGO_121725_EPCH2_0937|AVGO|LONG|2025-12-17 00:00:00|0.4009|337.47|O:AVGO260102C00335000|335.0000|2026-01-02 00:00:00|CALL|13.8|0.4009|11.5|0.4028|-230|-0.1667|-0.7034|-0.1667|-1.0000|0.7034|0.0000|SUCCESS|
|AVGO_121725_EPCH2_0938|AVGO|LONG|2025-12-17 00:00:00|0.4014|337.465|O:AVGO260102C00335000|335.0000|2026-01-02 00:00:00|CALL|12.2|0.4014|11.5|0.4028|-70|-0.0574|-0.2144|-0.0574|-1.0000|0.2144|0.0000|SUCCESS|
|AVGO_121725_EPCH2_0938|AVGO|LONG|2025-12-17 00:00:00|0.4017|337.275|O:AVGO260102C00335000|335.0000|2026-01-02 00:00:00|CALL|12.2|0.4017|11.5|0.4028|-70|-0.0574|-0.2276|-0.0574|-1.0000|0.2276|0.0000|SUCCESS|
|AVGO_121725_EPCH2_0938|AVGO|LONG|2025-12-17 00:00:00|0.4019|337.2425|O:AVGO260102C00335000|335.0000|2026-01-02 00:00:00|CALL|12.2|0.4019|11.5|0.4028|-70|-0.0574|-0.2301|-0.0574|-1.0000|0.2301|0.0000|SUCCESS|
|AVGO_121725_EPCH3_0930|AVGO|SHORT|2025-12-17 00:00:00|0.3962|343.2|O:AVGO260102P00345000|345.0000|2026-01-02 00:00:00|PUT|11.8|0.3962|17.24|0.4062|544|0.4610|1.5906|0.4610|3.0000|0.5302|1.0000|SUCCESS|
|AVGO_121725_EPCH4_0931|AVGO|SHORT|2025-12-17 00:00:00|0.3970|342.2175|O:AVGO260102P00342500|342.5000|2026-01-02 00:00:00|PUT|13.69|0.3970|17.5|0.4410|381|0.2783|0.8654|0.2783|3.0000|0.2885|1.0000|SUCCESS|
|AVGO_121725_EPCH2_0942|AVGO|SHORT|2025-12-17 00:00:00|0.4043|333.91|O:AVGO260102P00335000|335.0000|2026-01-02 00:00:00|PUT|11.65|0.4043|15.85|0.6597|420|0.3605|1.2766|0.3605|2.3921|0.5337|1.0000|SUCCESS|
|AVGO_121725_EPCH2_0942|AVGO|SHORT|2025-12-17 00:00:00|0.4047|334.16|O:AVGO260102P00335000|335.0000|2026-01-02 00:00:00|PUT|11.65|0.4047|15.85|0.6597|420|0.3605|1.3816|0.3605|2.6711|0.5172|1.0000|SUCCESS|
