================================================================================
EPOCH BACKTEST WORKSHEET REPORT
Generated for Claude AI Review
================================================================================
Report Generated: 2026-01-01 11:20:36
Workbook: epoch_v1.xlsm
Worksheet: backtest

PURPOSE: This report contains raw data and summary statistics from
the backtest worksheet for validation and analysis by Claude AI.
================================================================================

SUMMARY STATISTICS
----------------------------------------
Total Trades:    269
Wins:            120
Losses:          149
Win Rate:        44.6%
Total P&L:       -48.03R
Average R:       -0.18R
Profit Factor:   0.67
Gross Profit:    +97.71R
Gross Loss:      +145.74R

BY MODEL:
  EPCH4: 127 trades, 24% WR, -65.92R
  EPCH2: 124 trades, 69% WR, +27.93R
  EPCH1: 8 trades, 25% WR, -4.45R
  EPCH3: 10 trades, 20% WR, -5.58R

BY EXIT REASON:
  EOD: 123 trades, +85.97R
  STOP: 143 trades, -143.00R
  TARGET_3R: 3 trades, +9.00R

BY DIRECTION:
  LONG: 118 trades, 35% WR, -32.06R
  SHORT: 151 trades, 52% WR, -15.97R

RAW DATA
----------------------------------------
|trade_id|date|ticker|model|zone_type|direction|zone_high|zone_low|entry_price|entry_time|stop_price|target_3r|target_calc|target_used|exit_price|exit_time|exit_reason|pnl_dollars|pnl_r|risk|win|
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
|AMAT_121825_EPCH4_1218|2025-12-18 00:00:00|AMAT|EPCH4|SECONDARY|LONG|253.1500|251.3300|253.2100|0.5127|251.2800|259.0000|242.4600|259.0000|253.8500|0.6597|EOD|0.6400|0.3316|1.9300|1.0000|
|AMAT_121825_EPCH4_1219|2025-12-18 00:00:00|AMAT|EPCH4|SECONDARY|LONG|253.1500|251.3300|253.2800|0.5137|251.2800|259.2800|242.4600|259.2800|253.8500|0.6597|EOD|0.5700|0.2850|2.0000|1.0000|
|AMAT_121825_EPCH4_1221|2025-12-18 00:00:00|AMAT|EPCH4|SECONDARY|LONG|253.1500|251.3300|253.2100|0.5149|251.2800|259.0000|242.4600|259.0000|253.8500|0.6597|EOD|0.6400|0.3316|1.9300|1.0000|
|AMAT_121825_EPCH4_1228|2025-12-18 00:00:00|AMAT|EPCH4|SECONDARY|LONG|253.1500|251.3300|253.1900|0.5194|251.2800|258.9200|242.4600|258.9200|253.8500|0.6597|EOD|0.6600|0.3455|1.9100|1.0000|
|AMAT_121825_EPCH4_1231|2025-12-18 00:00:00|AMAT|EPCH4|SECONDARY|LONG|253.1500|251.3300|253.1800|0.5220|251.2800|258.8800|242.4600|258.8800|253.8500|0.6597|EOD|0.6700|0.3526|1.9000|1.0000|
|AMAT_121825_EPCH4_1233|2025-12-18 00:00:00|AMAT|EPCH4|SECONDARY|LONG|253.1500|251.3300|253.2900|0.5231|251.2800|259.3200|242.4600|259.3200|253.8500|0.6597|EOD|0.5600|0.2786|2.0100|1.0000|
|AMAT_121825_EPCH4_1233|2025-12-18 00:00:00|AMAT|EPCH4|SECONDARY|LONG|253.1500|251.3300|253.3196|0.5233|251.2800|259.4384|242.4600|259.4384|253.8500|0.6597|EOD|0.5304|0.2601|2.0396|1.0000|
|AMAT_121825_EPCH4_1433|2025-12-18 00:00:00|AMAT|EPCH4|SECONDARY|LONG|253.1500|251.3300|253.2550|0.6066|251.2800|259.1800|242.4600|259.1800|253.8500|0.6597|EOD|0.5950|0.3013|1.9750|1.0000|
|AMAT_121825_EPCH4_1434|2025-12-18 00:00:00|AMAT|EPCH4|SECONDARY|LONG|253.1500|251.3300|253.1700|0.6069|251.2800|258.8400|242.4600|258.8400|253.8500|0.6597|EOD|0.6800|0.3598|1.8900|1.0000|
