================================================================================
EPOCH OPTIMAL TRADE WORKSHEET REPORT
Generated for Claude AI Review
================================================================================
Report Generated: 2026-01-01 11:20:36
Workbook: epoch_v1.xlsm
Worksheet: optimal_trade
Schema: v3.1 (45 columns, A-AS)

PURPOSE: This report contains expanded analysis data for each bar
of each trade, enabling AI-driven pattern discovery for exit optimization.

STRUCTURE: 1 row per bar per trade (~N trades x ~28 bars = 1,500+ rows)
Each row answers: 'If I exited HERE, what would happen?'
================================================================================

SUMMARY STATISTICS
----------------------------------------
Total Decision Points: 808
Unique Trades:         202
Avg Bars per Trade:    4.0

Avg R if Exit:         +360.42R
Avg MFE R:             +366.28R
Avg Actual R:          +0.00R
Capture Rate:          0.0%

WIN/LOSS (by exit rows):
  Wins:                0
  Losses:              0
  Win Rate:            0.0%

DECAY ANALYSIS (Post-MFE):
  Post-MFE Rows:       0
  Avg R Given Back:    0.00R
  First Flip Events:   0
  Avg R at First Flip: +0.00R

HEALTH SCORE -> AVERAGE R IF EXIT:
  Health 3: 34 bars, +374.93R avg, 100% win
  Health 2: 44 bars, +403.91R avg, 100% win
  Health 1: 108 bars, +361.80R avg, 100% win
  Health 0: 522 bars, +343.25R avg, 100% win
  Health -1: 82 bars, +414.30R avg, 100% win
  Health -2: 16 bars, +498.01R avg, 100% win
  Health -4: 2 bars, +254.93R avg, 100% win

RAW DATA
----------------------------------------
|Trade_ID|Date|Ticker|Direction|Model|Entry_Health|Entry_Label|Entry_VWAP|Entry_Trend|Entry_Structure|Bar_Seq|Bar_Time|Bars_From_Entry|Bars_From_MFE|Event_Type|Price|R_If_Exit|Health|VWAP|SMA9|SMA21|Volume|Swing_High|Health_vs_Entry|R_vs_MFE|R_vs_Actual|Is_MFE|Is_Exit|Is_Post_MFE|Bars_After_MFE|R_Given_Back|Health_at_MFE|Health_Decay|VWAP_Same|SMA_Same|Structure_Same|CVD_Same|Is_First_Flip|Actual_Exit_Price|Actual_Exit_Time|Actual_R|Exit_Reason|MFE_R|MAE_R|Win|
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
|AMAT_121825_EPCH4_1218|2025-12-18 00:00:00|AMAT|LONG|EPCH4|1.0000|ENTRY|2025-12-18 12:20:00|0.0000|252.5950|-0.3187|3.0000|0.0000|STABLE|256.8624|255.0948|255.7242|-0.6294|NARROWING|69.5500|-248786.0000|-0.7352|BEAR|BULL|BULL|BEAR|0.3316|EOD||||||||||||||||||
|AMAT_121825_EPCH4_1218|2025-12-18 00:00:00|AMAT|LONG|EPCH4|1.0000|MFE|2025-12-18 13:40:00|16.0000|255.8300|1.0907|5.0000|2.0000|IMPROVING|256.3198|254.8758|254.4608|0.4150|NARROWING|-39.3100|854.0000|0.2008|BULL|BULL|BULL|BEAR|0.3316|EOD||||||||||||||||||
|AMAT_121825_EPCH4_1218|2025-12-18 00:00:00|AMAT|LONG|EPCH4|1.0000|MAE|2025-12-18 12:25:00|1.0000|252.2250|-0.1036|5.0000|2.0000|IMPROVING|256.6818|254.7120|255.5780|-0.8660|WIDENING|117.3400|-162592.0000|-0.8079|BEAR|BULL|BULL|BEAR|0.3316|EOD||||||||||||||||||
|AMAT_121825_EPCH4_1218|2025-12-18 00:00:00|AMAT|LONG|EPCH4|1.0000|EXIT|2025-12-18 15:45:00|41.0000|254.0900|0.4560|7.0000|4.0000|IMPROVING|255.7374|254.2006|253.8694|0.3312|NARROWING|86.1300|-141445.0000|0.2144|BULL|BULL|BULL|BEAR|0.3316|EOD||||||||||||||||||
|AMAT_121825_EPCH4_1219|2025-12-18 00:00:00|AMAT|LONG|EPCH4|1.0000|ENTRY|2025-12-18 12:20:00|0.0000|252.5950|-0.3425|3.0000|0.0000|STABLE|256.8624|255.0948|255.7242|-0.6294|NARROWING|69.5500|-248786.0000|-0.7352|BEAR|BULL|BULL|BEAR|0.2850|EOD||||||||||||||||||
|AMAT_121825_EPCH4_1219|2025-12-18 00:00:00|AMAT|LONG|EPCH4|1.0000|MFE|2025-12-18 13:40:00|16.0000|255.8300|1.0175|5.0000|2.0000|IMPROVING|256.3198|254.8758|254.4608|0.4150|NARROWING|-39.3100|854.0000|0.2008|BULL|BULL|BULL|BEAR|0.2850|EOD||||||||||||||||||
|AMAT_121825_EPCH4_1219|2025-12-18 00:00:00|AMAT|LONG|EPCH4|1.0000|MAE|2025-12-18 12:25:00|1.0000|252.2250|-0.1350|5.0000|2.0000|IMPROVING|256.6818|254.7120|255.5780|-0.8660|WIDENING|117.3400|-162592.0000|-0.8079|BEAR|BULL|BULL|BEAR|0.2850|EOD||||||||||||||||||
|AMAT_121825_EPCH4_1219|2025-12-18 00:00:00|AMAT|LONG|EPCH4|1.0000|EXIT|2025-12-18 15:45:00|41.0000|254.0900|0.4050|7.0000|4.0000|IMPROVING|255.7374|254.2006|253.8694|0.3312|NARROWING|86.1300|-141445.0000|0.2144|BULL|BULL|BULL|BEAR|0.2850|EOD||||||||||||||||||
|AMAT_121825_EPCH4_1221|2025-12-18 00:00:00|AMAT|LONG|EPCH4|1.0000|ENTRY|2025-12-18 12:25:00|0.0000|253.0100|-0.1036|5.0000|0.0000|STABLE|256.6818|254.7120|255.5780|-0.8660|WIDENING|117.3400|-162592.0000|-0.8079|BEAR|BULL|BULL|BEAR|0.3316|EOD||||||||||||||||||
|AMAT_121825_EPCH4_1221|2025-12-18 00:00:00|AMAT|LONG|EPCH4|1.0000|MFE|2025-12-18 13:40:00|15.0000|255.8300|1.0907|5.0000|0.0000|STABLE|256.3198|254.8758|254.4608|0.4150|NARROWING|-39.3100|854.0000|0.2008|BULL|BULL|BULL|BEAR|0.3316|EOD||||||||||||||||||
|AMAT_121825_EPCH4_1221|2025-12-18 00:00:00|AMAT|LONG|EPCH4|1.0000|MAE|2025-12-18 12:25:00|0.0000|252.2250|-0.1036|5.0000|0.0000|STABLE|256.6818|254.7120|255.5780|-0.8660|WIDENING|117.3400|-162592.0000|-0.8079|BEAR|BULL|BULL|BEAR|0.3316|EOD||||||||||||||||||
|AMAT_121825_EPCH4_1221|2025-12-18 00:00:00|AMAT|LONG|EPCH4|1.0000|EXIT|2025-12-18 15:45:00|40.0000|254.0900|0.4560|7.0000|2.0000|IMPROVING|255.7374|254.2006|253.8694|0.3312|NARROWING|86.1300|-141445.0000|0.2144|BULL|BULL|BULL|BEAR|0.3316|EOD||||||||||||||||||
|AMAT_121825_EPCH4_1228|2025-12-18 00:00:00|AMAT|LONG|EPCH4|1.0000|ENTRY|2025-12-18 12:30:00|0.0000|253.6500|0.2408|5.0000|0.0000|STABLE|256.5681|254.3490|255.4566|-1.1075|WIDENING|67.0900|-87957.0000|-0.8339|BEAR|BULL|BULL|BEAR|0.3455|EOD||||||||||||||||||
|AMAT_121825_EPCH4_1228|2025-12-18 00:00:00|AMAT|LONG|EPCH4|1.0000|MFE|2025-12-18 13:40:00|14.0000|255.8300|1.1126|5.0000|0.0000|STABLE|256.3198|254.8758|254.4608|0.4150|NARROWING|-39.3100|854.0000|0.2008|BULL|BULL|BULL|BEAR|0.3455|EOD||||||||||||||||||
|AMAT_121825_EPCH4_1228|2025-12-18 00:00:00|AMAT|LONG|EPCH4|1.0000|MAE|2025-12-18 15:00:00|30.0000|252.6500|0.3141|5.0000|0.0000|STABLE|255.9779|253.4811|254.1609|-0.6798|WIDENING|41.4100|1939.0000|-0.6835|BEAR|BULL|BULL|BEAR|0.3455|EOD||||||||||||||||||
|AMAT_121825_EPCH4_1228|2025-12-18 00:00:00|AMAT|LONG|EPCH4|1.0000|EXIT|2025-12-18 15:45:00|39.0000|254.0900|0.4712|7.0000|2.0000|IMPROVING|255.7374|254.2006|253.8694|0.3312|NARROWING|86.1300|-141445.0000|0.2144|BULL|BULL|BULL|BEAR|0.3455|EOD||||||||||||||||||
|AMAT_121825_EPCH4_1231|2025-12-18 00:00:00|AMAT|LONG|EPCH4|1.0000|ENTRY|2025-12-18 12:35:00|0.0000|254.1700|0.5211|4.0000|0.0000|STABLE|256.5047|254.1222|255.3456|-1.2234|WIDENING|13.0400|29723.0000|-0.7076|BEAR|BULL|BULL|BEAR|0.3526|EOD||||||||||||||||||
|AMAT_121825_EPCH4_1231|2025-12-18 00:00:00|AMAT|LONG|EPCH4|1.0000|MFE|2025-12-18 13:40:00|13.0000|255.8300|1.1237|5.0000|1.0000|IMPROVING|256.3198|254.8758|254.4608|0.4150|NARROWING|-39.3100|854.0000|0.2008|BULL|BULL|BULL|BEAR|0.3526|EOD||||||||||||||||||
|AMAT_121825_EPCH4_1231|2025-12-18 00:00:00|AMAT|LONG|EPCH4|1.0000|MAE|2025-12-18 15:00:00|29.0000|252.6500|0.3211|5.0000|1.0000|IMPROVING|255.9779|253.4811|254.1609|-0.6798|WIDENING|41.4100|1939.0000|-0.6835|BEAR|BULL|BULL|BEAR|0.3526|EOD||||||||||||||||||
|AMAT_121825_EPCH4_1231|2025-12-18 00:00:00|AMAT|LONG|EPCH4|1.0000|EXIT|2025-12-18 15:45:00|38.0000|254.0900|0.4789|7.0000|3.0000|IMPROVING|255.7374|254.2006|253.8694|0.3312|NARROWING|86.1300|-141445.0000|0.2144|BULL|BULL|BULL|BEAR|0.3526|EOD||||||||||||||||||
|AMAT_121825_EPCH4_1233|2025-12-18 00:00:00|AMAT|LONG|EPCH4|1.0000|ENTRY|2025-12-18 12:35:00|0.0000|254.1700|0.4169|4.0000|0.0000|STABLE|256.5047|254.1222|255.3456|-1.2234|WIDENING|13.0400|29723.0000|-0.7076|BEAR|BULL|BULL|BEAR|0.2601|EOD||||||||||||||||||
|AMAT_121825_EPCH4_1233|2025-12-18 00:00:00|AMAT|LONG|EPCH4|1.0000|MFE|2025-12-18 13:40:00|13.0000|255.8300|1.0075|5.0000|1.0000|IMPROVING|256.3198|254.8758|254.4608|0.4150|NARROWING|-39.3100|854.0000|0.2008|BULL|BULL|BULL|BEAR|0.2786|EOD||||||||||||||||||
|AMAT_121825_EPCH4_1233|2025-12-18 00:00:00|AMAT|LONG|EPCH4|1.0000|MAE|2025-12-18 15:00:00|29.0000|252.6500|0.2488|5.0000|1.0000|IMPROVING|255.9779|253.4811|254.1609|-0.6798|WIDENING|41.4100|1939.0000|-0.6835|BEAR|BULL|BULL|BEAR|0.2786|EOD||||||||||||||||||
|AMAT_121825_EPCH4_1233|2025-12-18 00:00:00|AMAT|LONG|EPCH4|1.0000|EXIT|2025-12-18 15:45:00|38.0000|254.0900|0.3777|7.0000|3.0000|IMPROVING|255.7374|254.2006|253.8694|0.3312|NARROWING|86.1300|-141445.0000|0.2144|BULL|BULL|BULL|BEAR|0.2601|EOD||||||||||||||||||
|AMAT_121825_EPCH4_1433|2025-12-18 00:00:00|AMAT|LONG|EPCH4|1.0000|ENTRY|2025-12-18 14:35:00|0.0000|253.7300|0.2405|3.0000|0.0000|STABLE|256.1157|253.8559|254.4333|-0.5774|FLAT|4.6900|-9685.0000|-0.9868|BEAR|BULL|BULL|BEAR|0.3013|EOD||||||||||||||||||
|AMAT_121825_EPCH4_1433|2025-12-18 00:00:00|AMAT|LONG|EPCH4|1.0000|MFE|2025-12-18 15:15:00|8.0000|254.6450|0.5949|6.0000|3.0000|IMPROVING|255.9244|253.7617|254.0804|-0.3187|FLAT|52.7100|64820.0000|0.1308|BULL|BULL|BULL|BEAR|0.3013|EOD||||||||||||||||||
|AMAT_121825_EPCH4_1433|2025-12-18 00:00:00|AMAT|LONG|EPCH4|1.0000|MAE|2025-12-18 15:00:00|5.0000|252.6500|0.2709|5.0000|2.0000|IMPROVING|255.9779|253.4811|254.1609|-0.6798|WIDENING|41.4100|1939.0000|-0.6835|BEAR|BULL|BULL|BEAR|0.3013|EOD||||||||||||||||||
|AMAT_121825_EPCH4_1433|2025-12-18 00:00:00|AMAT|LONG|EPCH4|1.0000|EXIT|2025-12-18 15:45:00|14.0000|254.0900|0.4228|7.0000|4.0000|IMPROVING|255.7374|254.2006|253.8694|0.3312|NARROWING|86.1300|-141445.0000|0.2144|BULL|BULL|BULL|BEAR|0.3013|EOD||||||||||||||||||
|AMAT_121825_EPCH4_1434|2025-12-18 00:00:00|AMAT|LONG|EPCH4|1.0000|ENTRY|2025-12-18 14:35:00|0.0000|253.7300|0.2963|3.0000|0.0000|STABLE|256.1157|253.8559|254.4333|-0.5774|FLAT|4.6900|-9685.0000|-0.9868|BEAR|BULL|BULL|BEAR|0.3598|EOD||||||||||||||||||
|AMAT_121825_EPCH4_1434|2025-12-18 00:00:00|AMAT|LONG|EPCH4|1.0000|MFE|2025-12-18 15:15:00|8.0000|254.6450|0.6667|6.0000|3.0000|IMPROVING|255.9244|253.7617|254.0804|-0.3187|FLAT|52.7100|64820.0000|0.1308|BULL|BULL|BULL|BEAR|0.3598|EOD||||||||||||||||||
|AMAT_121825_EPCH4_1434|2025-12-18 00:00:00|AMAT|LONG|EPCH4|1.0000|MAE|2025-12-18 15:00:00|5.0000|252.6500|0.3280|5.0000|2.0000|IMPROVING|255.9779|253.4811|254.1609|-0.6798|WIDENING|41.4100|1939.0000|-0.6835|BEAR|BULL|BULL|BEAR|0.3598|EOD||||||||||||||||||
|AMAT_121825_EPCH4_1434|2025-12-18 00:00:00|AMAT|LONG|EPCH4|1.0000|EXIT|2025-12-18 15:45:00|14.0000|254.0900|0.4868|7.0000|4.0000|IMPROVING|255.7374|254.2006|253.8694|0.3312|NARROWING|86.1300|-141445.0000|0.2144|BULL|BULL|BULL|BEAR|0.3598|EOD||||||||||||||||||
|AMAT_121825_EPCH4_1453|2025-12-18 00:00:00|AMAT|LONG|EPCH4|1.0000|ENTRY|2025-12-18 14:55:00|0.0000|252.8500|-0.2594|4.0000|0.0000|STABLE|256.0068|253.4894|254.2033|-0.7139|WIDENING|29.8000|-7344.0000|-0.8974|BEAR|BULL|BULL|BEAR|0.2123|EOD||||||||||||||||||
|AMAT_121825_EPCH4_1453|2025-12-18 00:00:00|AMAT|LONG|EPCH4|1.0000|MFE|2025-12-18 15:15:00|4.0000|254.6450|0.4858|6.0000|2.0000|IMPROVING|255.9244|253.7617|254.0804|-0.3187|FLAT|52.7100|64820.0000|0.1308|BULL|BULL|BULL|BEAR|0.2123|EOD||||||||||||||||||
|AMAT_121825_EPCH4_1453|2025-12-18 00:00:00|AMAT|LONG|EPCH4|1.0000|MAE|2025-12-18 15:00:00|1.0000|252.6500|0.1840|5.0000|1.0000|IMPROVING|255.9779|253.4811|254.1609|-0.6798|WIDENING|41.4100|1939.0000|-0.6835|BEAR|BULL|BULL|BEAR|0.2123|EOD||||||||||||||||||
|AMAT_121825_EPCH4_1453|2025-12-18 00:00:00|AMAT|LONG|EPCH4|1.0000|EXIT|2025-12-18 15:45:00|10.0000|254.0900|0.3255|7.0000|3.0000|IMPROVING|255.7374|254.2006|253.8694|0.3312|NARROWING|86.1300|-141445.0000|0.2144|BULL|BULL|BULL|BEAR|0.2123|EOD||||||||||||||||||
|AMAT_121825_EPCH4_1455|2025-12-18 00:00:00|AMAT|LONG|EPCH4|1.0000|ENTRY|2025-12-18 15:00:00|0.0000|253.7900|0.3408|5.0000|0.0000|STABLE|255.9779|253.4811|254.1609|-0.6798|WIDENING|41.4100|1939.0000|-0.6835|BEAR|BULL|BULL|BEAR|0.3729|EOD||||||||||||||||||
|AMAT_121825_EPCH4_1455|2025-12-18 00:00:00|AMAT|LONG|EPCH4|1.0000|MFE|2025-12-18 15:15:00|3.0000|254.6450|0.6827|6.0000|1.0000|IMPROVING|255.9244|253.7617|254.0804|-0.3187|FLAT|52.7100|64820.0000|0.1308|BULL|BULL|BULL|BEAR|0.3729|EOD||||||||||||||||||
|AMAT_121825_EPCH4_1455|2025-12-18 00:00:00|AMAT|LONG|EPCH4|1.0000|MAE|2025-12-18 15:00:00|0.0000|252.6500|0.3408|5.0000|0.0000|STABLE|255.9779|253.4811|254.1609|-0.6798|WIDENING|41.4100|1939.0000|-0.6835|BEAR|BULL|BULL|BEAR|0.3729|EOD||||||||||||||||||
|AMAT_121825_EPCH4_1455|2025-12-18 00:00:00|AMAT|LONG|EPCH4|1.0000|EXIT|2025-12-18 15:45:00|9.0000|254.0900|0.5011|7.0000|2.0000|IMPROVING|255.7374|254.2006|253.8694|0.3312|NARROWING|86.1300|-141445.0000|0.2144|BULL|BULL|BULL|BEAR|0.3729|EOD||||||||||||||||||
|GEV_121825_EPCH2_0930|2025-12-18 00:00:00|GEV|LONG|EPCH2|0.0000|ENTRY|2025-12-18 09:35:00|0.0000|650.8983|0.2803|6.0000|0.0000|STABLE|650.8299|647.6365|644.5228|3.1136|WIDENING|597.9600|-37286.0000|-0.1107|BULL|BEAR|BULL|BEAR|-1.0000|STOP||||||||||||||||||
|GEV_121825_EPCH2_0930|2025-12-18 00:00:00|GEV|LONG|EPCH2|0.0000|MFE|2025-12-18 09:45:00|2.0000|658.6900|-0.1707|6.0000|0.0000|STABLE|651.2601|649.0876|645.6919|3.3957|WIDENING|233.0700|17420.0000|0.2281|BULL|BEAR|BULL|BEAR|-1.0000|STOP||||||||||||||||||
|GEV_121825_EPCH2_0930|2025-12-18 00:00:00|GEV|LONG|EPCH2|0.0000|MAE|2025-12-18 10:10:00|7.0000|639.0901|-0.8293|4.0000|-2.0000|DEGRADING|649.8917|649.4215|647.6355|1.7860|NARROWING|123.8000|-76030.0000|-0.1897|BEAR|BEAR|BULL|BEAR|-1.0000|STOP||||||||||||||||||
|GEV_121825_EPCH2_0930|2025-12-18 00:00:00|GEV|LONG|EPCH2|0.0000|EXIT|2025-12-18 10:10:00|7.0000|642.3800|-0.8260|4.0000|-2.0000|DEGRADING|649.8917|649.4215|647.6355|1.7860|NARROWING|123.8000|-76030.0000|-0.1897|BEAR|BEAR|BULL|BEAR|-1.0000|STOP||||||||||||||||||
|GEV_121825_EPCH2_0931|2025-12-18 00:00:00|GEV|LONG|EPCH2|0.0000|ENTRY|2025-12-18 09:35:00|0.0000|650.8983|0.4164|6.0000|0.0000|STABLE|650.8299|647.6365|644.5228|3.1136|WIDENING|597.9600|-37286.0000|-0.1107|BULL|BEAR|BULL|BEAR|-1.0000|STOP||||||||||||||||||
|GEV_121825_EPCH2_0931|2025-12-18 00:00:00|GEV|LONG|EPCH2|0.0000|MFE|2025-12-18 09:45:00|2.0000|658.6900|-0.3538|6.0000|0.0000|STABLE|651.2601|649.0876|645.6919|3.3957|WIDENING|233.0700|17420.0000|0.2281|BULL|BEAR|BULL|BEAR|-1.0000|STOP||||||||||||||||||
|GEV_121825_EPCH2_0931|2025-12-18 00:00:00|GEV|LONG|EPCH2|0.0000|MAE|2025-12-18 10:10:00|7.0000|639.0901|-0.8670|4.0000|-2.0000|DEGRADING|649.8917|649.4215|647.6355|1.7860|NARROWING|123.8000|-76030.0000|-0.1897|BEAR|BEAR|BULL|BEAR|-1.0000|STOP||||||||||||||||||
|GEV_121825_EPCH2_0931|2025-12-18 00:00:00|GEV|LONG|EPCH2|0.0000|EXIT|2025-12-18 10:10:00|7.0000|642.3800|-0.8075|4.0000|-2.0000|DEGRADING|649.8917|649.4215|647.6355|1.7860|NARROWING|123.8000|-76030.0000|-0.1897|BEAR|BEAR|BULL|BEAR|-1.0000|STOP||||||||||||||||||
|GEV_121825_EPCH2_0940|2025-12-18 00:00:00|GEV|LONG|EPCH2|0.0000|ENTRY|2025-12-18 09:40:00|0.0000|657.5000|1.3183|8.0000|0.0000|STABLE|651.5174|649.0209|645.3562|3.6648|WIDENING|297.9200|90687.0000|0.1831|BULL|BEAR|BULL|BEAR|-1.0000|STOP||||||||||||||||||
|GEV_121825_EPCH2_0940|2025-12-18 00:00:00|GEV|LONG|EPCH2|0.0000|MFE|2025-12-18 09:45:00|1.0000|658.6900|-0.0831|6.0000|-2.0000|DEGRADING|651.2601|649.0876|645.6919|3.3957|WIDENING|233.0700|17420.0000|0.2281|BULL|BEAR|BULL|BEAR|-1.0000|STOP||||||||||||||||||
|GEV_121825_EPCH2_0940|2025-12-18 00:00:00|GEV|LONG|EPCH2|0.0000|MAE|2025-12-18 10:10:00|6.0000|639.0901|-0.8113|4.0000|-4.0000|DEGRADING|649.8917|649.4215|647.6355|1.7860|NARROWING|123.8000|-76030.0000|-0.1897|BEAR|BEAR|BULL|BEAR|-1.0000|STOP||||||||||||||||||
|GEV_121825_EPCH2_0940|2025-12-18 00:00:00|GEV|LONG|EPCH2|0.0000|EXIT|2025-12-18 10:10:00|6.0000|642.3800|-0.8113|4.0000|-4.0000|DEGRADING|649.8917|649.4215|647.6355|1.7860|NARROWING|123.8000|-76030.0000|-0.1897|BEAR|BEAR|BULL|BEAR|-1.0000|STOP||||||||||||||||||
|GEV_121825_EPCH2_0950|2025-12-18 00:00:00|GEV|LONG|EPCH2|0.0000|ENTRY|2025-12-18 09:50:00|0.0000|652.5450|0.4186|7.0000|0.0000|STABLE|651.2670|649.7059|646.4269|3.2790|FLAT|34.8800|42583.0000|0.3743|BULL|BEAR|BULL|BEAR|-1.0000|STOP||||||||||||||||||
|GEV_121825_EPCH2_0950|2025-12-18 00:00:00|GEV|LONG|EPCH2|0.0000|MFE|2025-12-18 09:55:00|1.0000|654.2300|0.2737|5.0000|-2.0000|DEGRADING|651.3207|650.4559|646.9568|3.4991|FLAT|8.7100|16688.0000|0.3701|BULL|BEAR|BULL|BEAR|-1.0000|STOP||||||||||||||||||
|GEV_121825_EPCH2_0950|2025-12-18 00:00:00|GEV|LONG|EPCH2|0.0000|MAE|2025-12-18 10:10:00|4.0000|639.0901|-0.8348|4.0000|-3.0000|DEGRADING|649.8917|649.4215|647.6355|1.7860|NARROWING|123.8000|-76030.0000|-0.1897|BEAR|BEAR|BULL|BEAR|-1.0000|STOP||||||||||||||||||
|GEV_121825_EPCH2_0950|2025-12-18 00:00:00|GEV|LONG|EPCH2|0.0000|EXIT|2025-12-18 10:10:00|4.0000|642.3800|-0.8348|4.0000|-3.0000|DEGRADING|649.8917|649.4215|647.6355|1.7860|NARROWING|123.8000|-76030.0000|-0.1897|BEAR|BEAR|BULL|BEAR|-1.0000|STOP||||||||||||||||||
|GEV_121825_EPCH2_1002|2025-12-18 00:00:00|GEV|LONG|EPCH2|0.0000|ENTRY|2025-12-18 10:05:00|0.0000|644.6900|-0.4702|3.0000|0.0000|STABLE|650.8278|650.2681|647.4984|2.7698|FLAT|13.0100|-154599.0000|-0.0307|BULL|BEAR|BULL|BEAR|-1.0000|STOP||||||||||||||||||
|GEV_121825_EPCH2_1002|2025-12-18 00:00:00|GEV|LONG|EPCH2|0.0000|MFE|2025-12-18 10:05:00|0.0000|648.7100|-0.4702|3.0000|0.0000|STABLE|650.8278|650.2681|647.4984|2.7698|FLAT|13.0100|-154599.0000|-0.0307|BULL|BEAR|BULL|BEAR|-1.0000|STOP||||||||||||||||||
|GEV_121825_EPCH2_1002|2025-12-18 00:00:00|GEV|LONG|EPCH2|0.0000|MAE|2025-12-18 10:10:00|1.0000|639.0901|-0.8055|4.0000|1.0000|IMPROVING|649.8917|649.4215|647.6355|1.7860|NARROWING|123.8000|-76030.0000|-0.1897|BEAR|BEAR|BULL|BEAR|-1.0000|STOP||||||||||||||||||
