================================================================================
EPOCH OPTIMAL TRADE WORKSHEET REPORT
Generated for Claude AI Review
================================================================================
Report Generated: 2026-01-01 13:54:55
Workbook: epoch_v1.xlsm
Worksheet: optimal_trade
Schema: v3.1 (45 columns, A-AS)

PURPOSE: This report contains expanded analysis data for each bar
of each trade, enabling AI-driven pattern discovery for exit optimization.

STRUCTURE: 1 row per bar per trade (~N trades x ~28 bars = 1,500+ rows)
Each row answers: 'If I exited HERE, what would happen?'
================================================================================

SUMMARY STATISTICS
----------------------------------------
Total Decision Points: 396
Unique Trades:         99
Avg Bars per Trade:    4.0

Avg R if Exit:         +314.14R
Avg MFE R:             +274.15R
Avg Actual R:          +0.00R
Capture Rate:          0.0%

WIN/LOSS (by exit rows):
  Wins:                0
  Losses:              0
  Win Rate:            0.0%

DECAY ANALYSIS (Post-MFE):
  Post-MFE Rows:       0
  Avg R Given Back:    0.00R
  First Flip Events:   0
  Avg R at First Flip: +0.00R

HEALTH SCORE -> AVERAGE R IF EXIT:
  Health 2: 21 bars, +298.17R avg, 100% win
  Health 1: 40 bars, +253.76R avg, 100% win
  Health 0: 324 bars, +321.89R avg, 100% win
  Health -1: 11 bars, +335.78R avg, 100% win

RAW DATA
----------------------------------------
|Trade_ID|Date|Ticker|Direction|Model|Entry_Health|Entry_Label|Entry_VWAP|Entry_Trend|Entry_Structure|Bar_Seq|Bar_Time|Bars_From_Entry|Bars_From_MFE|Event_Type|Price|R_If_Exit|Health|VWAP|SMA9|SMA21|Volume|Swing_High|Health_vs_Entry|R_vs_MFE|R_vs_Actual|Is_MFE|Is_Exit|Is_Post_MFE|Bars_After_MFE|R_Given_Back|Health_at_MFE|Health_Decay|VWAP_Same|SMA_Same|Structure_Same|CVD_Same|Is_First_Flip|Actual_Exit_Price|Actual_Exit_Time|Actual_R|Exit_Reason|MFE_R|MAE_R|Win|
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
|AMD_121925_EPCH4_0934|2025-12-19 00:00:00|AMD|LONG|EPCH4|1.0000|ENTRY|2025-12-19 09:35:00|0.0000|207.5700|0.9003|10.0000|0.0000|STABLE|206.0524|204.1772|203.5108|0.6664|WIDENING|321.4400|2057992.0000|0.5842|BULL|BULL|BULL|BULL|3.0000|TARGET_3R||||||||||||||||||
|AMD_121925_EPCH4_0934|2025-12-19 00:00:00|AMD|LONG|EPCH4|1.0000|MFE|2025-12-19 09:45:00|2.0000|211.0000|2.8073|10.0000|0.0000|STABLE|207.2926|205.6983|204.1908|1.5075|WIDENING|403.5900|3548679.0000|0.8842|BULL|BULL|BULL|BULL|3.0000|TARGET_3R||||||||||||||||||
|AMD_121925_EPCH4_0934|2025-12-19 00:00:00|AMD|LONG|EPCH4|1.0000|MAE|2025-12-19 09:35:00|0.0000|205.1300|0.9003|10.0000|0.0000|STABLE|206.0524|204.1772|203.5108|0.6664|WIDENING|321.4400|2057992.0000|0.5842|BULL|BULL|BULL|BULL|3.0000|TARGET_3R||||||||||||||||||
|AMD_121925_EPCH4_0934|2025-12-19 00:00:00|AMD|LONG|EPCH4|1.0000|EXIT|2025-12-19 09:45:00|2.0000|210.4200|2.8073|10.0000|0.0000|STABLE|207.2926|205.6983|204.1908|1.5075|WIDENING|403.5900|3548679.0000|0.8842|BULL|BULL|BULL|BULL|3.0000|TARGET_3R||||||||||||||||||
|AMD_121925_EPCH4_0932|2025-12-19 00:00:00|AMD|LONG|EPCH4|1.0000|ENTRY|2025-12-19 09:35:00|0.0000|207.5700|0.5351|10.0000|0.0000|STABLE|206.0524|204.1772|203.5108|0.6664|WIDENING|321.4400|2057992.0000|0.5842|BULL|BULL|BULL|BULL|3.0000|TARGET_3R||||||||||||||||||
|AMD_121925_EPCH4_0932|2025-12-19 00:00:00|AMD|LONG|EPCH4|1.0000|MFE|2025-12-19 10:00:00|5.0000|212.3700|2.7969|10.0000|0.0000|STABLE|208.2257|208.3083|205.3407|2.9675|WIDENING|107.2500|2352290.0000|1.2663|BULL|BULL|BULL|BULL|3.0000|TARGET_3R||||||||||||||||||
|AMD_121925_EPCH4_0932|2025-12-19 00:00:00|AMD|LONG|EPCH4|1.0000|MAE|2025-12-19 09:35:00|0.0000|205.1300|0.7531|10.0000|0.0000|STABLE|206.0524|204.1772|203.5108|0.6664|WIDENING|321.4400|2057992.0000|0.5842|BULL|BULL|BULL|BULL|3.0000|TARGET_3R||||||||||||||||||
|AMD_121925_EPCH4_0932|2025-12-19 00:00:00|AMD|LONG|EPCH4|1.0000|EXIT|2025-12-19 10:00:00|5.0000|211.7543|2.7969|10.0000|0.0000|STABLE|208.2257|208.3083|205.3407|2.9675|WIDENING|107.2500|2352290.0000|1.2663|BULL|BULL|BULL|BULL|3.0000|TARGET_3R||||||||||||||||||
|AMD_121925_EPCH4_0933|2025-12-19 00:00:00|AMD|LONG|EPCH4|1.0000|ENTRY|2025-12-19 09:35:00|0.0000|207.5700|0.7516|10.0000|0.0000|STABLE|206.0524|204.1772|203.5108|0.6664|WIDENING|321.4400|2057992.0000|0.5842|BULL|BULL|BULL|BULL|3.0000|TARGET_3R||||||||||||||||||
