================================================================================
EPOCH OPTIONS ANALYSIS WORKSHEET REPORT
Generated for Claude AI Review
================================================================================
Report Generated: 2026-01-01 13:54:55
Workbook: epoch_v1.xlsm
Worksheet: options_analysis
Schema: v1.0 (22 columns, A-V)

PURPOSE: This report contains options analysis data comparing
options performance to underlying equity trades for each backtest trade.

STRUCTURE: 1 row per trade with options P&L and R-multiple comparison.
================================================================================

SUMMARY STATISTICS
----------------------------------------
Total Trades:          136
Successful:            136
Failed (No Data):      0

P&L METRICS (Successful Trades Only):
  Total P&L:           $7,407.00
  Avg P&L:             $54.46
  Avg Return:          9.4%

R-MULTIPLE METRICS:
  Total Options R:     +54.06R
  Avg Options R:       +0.40R
  Best Options R:      +3.47R
  Worst Options R:     -0.57R
  Avg Underlying R:    +0.62R
  Avg R Multiplier:    0.89x

WIN/LOSS ANALYSIS:
  Wins:                88
  Losses:              48
  Win Rate:            64.7%
  Outperformed Equity: 16/136

DIRECTION BREAKDOWN:
  LONG: 89 trades, +0.48R avg, 74% win
  SHORT: 47 trades, +0.25R avg, 47% win

CONTRACT TYPE BREAKDOWN:
  CALL: 89 trades, +0.48R avg, 74% win
  PUT: 47 trades, +0.25R avg, 47% win

STATUS BREAKDOWN:
  SUCCESS: 136

RAW DATA
----------------------------------------
|Trade_ID|Ticker|Direction|Entry_Date|Entry_Time|Entry_Price|Options_Ticker|Strike|Expiration|Contract_Type|Option_Entry_Price|Option_Entry_Time|Option_Exit_Price|Option_Exit_Time|PnL_Dollars|PnL_Percent|Option_R|Net_Return|Underlying_R|R_Multiplier|Win|Status|
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
|AMD_121925_EPCH4_0934|AMD|LONG|2025-12-19 00:00:00|0.3991|206.2245|O:AMD260102C00205000|205.0000|2026-01-02 00:00:00|CALL|7.43|0.3991|9.55|0.4062|212|0.2853|1.4185|0.2853|3.0000|0.4728|1.0000|SUCCESS|
|AMD_121925_EPCH4_0932|AMD|LONG|2025-12-19 00:00:00|0.3976|206.35|O:AMD260102C00205000|205.0000|2026-01-02 00:00:00|CALL|7.67|0.3976|10.15|0.4132|248|0.3233|1.5309|0.3233|3.0000|0.5103|1.0000|SUCCESS|
|AMD_121925_EPCH4_0933|AMD|LONG|2025-12-19 00:00:00|0.3979|206.3514|O:AMD260102C00205000|205.0000|2026-01-02 00:00:00|CALL|7.52|0.3979|10.15|0.4132|263|0.3497|1.6221|0.3497|3.0000|0.5407|1.0000|SUCCESS|
|AMD_121925_EPCH4_0932|AMD|LONG|2025-12-19 00:00:00|0.3974|206.58|O:AMD260102C00205000|205.0000|2026-01-02 00:00:00|CALL|7.67|0.3974|11.29|0.4167|362|0.4720|1.9568|0.4720|3.0000|0.6523|1.0000|SUCCESS|
|AMD_121925_EPCH4_0935|AMD|LONG|2025-12-19 00:00:00|0.3995|206.5999|O:AMD260102C00205000|205.0000|2026-01-02 00:00:00|CALL|7.43|0.3995|11.29|0.4167|386|0.5195|2.0643|0.5195|3.0000|0.6881|1.0000|SUCCESS|
|AMD_121925_EPCH4_0938|AMD|LONG|2025-12-19 00:00:00|0.4017|206.65|O:AMD260102C00205000|205.0000|2026-01-02 00:00:00|CALL|7.85|0.4017|11.4|0.5104|355|0.4522|1.8490|0.4522|3.0000|0.6163|1.0000|SUCCESS|
|AMD_121925_EPCH4_0931|AMD|LONG|2025-12-19 00:00:00|0.3967|206.785|O:AMD260102C00205000|205.0000|2026-01-02 00:00:00|CALL|7.5|0.3967|11.95|0.5243|445|0.5933|2.1655|0.5933|3.0000|0.7218|1.0000|SUCCESS|
|AMD_121925_EPCH2_0931|AMD|LONG|2025-12-19 00:00:00|0.3967|206.785|O:AMD260102C00205000|205.0000|2026-01-02 00:00:00|CALL|7.5|0.3967|12.62|0.6597|512|0.6827|2.4915|0.6827|3.4720|0.7176|1.0000|SUCCESS|
|AMD_121925_EPCH2_0932|AMD|LONG|2025-12-19 00:00:00|0.3974|206.58|O:AMD260102C00205000|205.0000|2026-01-02 00:00:00|CALL|7.67|0.3974|12.62|0.6597|495|0.6454|2.6757|0.6454|3.9676|0.6744|1.0000|SUCCESS|
