================================================================================
EPOCH OPTIMAL TRADE WORKSHEET REPORT
Generated for Claude AI Review
================================================================================
Report Generated: 2026-01-01 14:45:24
Workbook: epoch_v1.xlsm
Worksheet: optimal_trade
Schema: v3.1 (45 columns, A-AS)

PURPOSE: This report contains expanded analysis data for each bar
of each trade, enabling AI-driven pattern discovery for exit optimization.

STRUCTURE: 1 row per bar per trade (~N trades x ~28 bars = 1,500+ rows)
Each row answers: 'If I exited HERE, what would happen?'
================================================================================

SUMMARY STATISTICS
----------------------------------------
Total Decision Points: 396
Unique Trades:         99
Avg Bars per Trade:    4.0

Avg R if Exit:         +305.75R
Avg MFE R:             +216.09R
Avg Actual R:          +0.00R
Capture Rate:          0.0%

WIN/LOSS (by exit rows):
  Wins:                0
  Losses:              0
  Win Rate:            0.0%

DECAY ANALYSIS (Post-MFE):
  Post-MFE Rows:       0
  Avg R Given Back:    0.00R
  First Flip Events:   0
  Avg R at First Flip: +0.00R

HEALTH SCORE -> AVERAGE R IF EXIT:
  Health 3: 16 bars, +490.18R avg, 100% win
  Health 2: 8 bars, +490.05R avg, 100% win
  Health 1: 67 bars, +257.79R avg, 100% win
  Health 0: 209 bars, +268.43R avg, 100% win
  Health -1: 68 bars, +332.88R avg, 100% win
  Health -2: 28 bars, +475.13R avg, 100% win

RAW DATA
----------------------------------------
|Trade_ID|Date|Ticker|Direction|Model|Entry_Health|Entry_Label|Entry_VWAP|Entry_Trend|Entry_Structure|Bar_Seq|Bar_Time|Bars_From_Entry|Bars_From_MFE|Event_Type|Price|R_If_Exit|Health|VWAP|SMA9|SMA21|Volume|Swing_High|Health_vs_Entry|R_vs_MFE|R_vs_Actual|Is_MFE|Is_Exit|Is_Post_MFE|Bars_After_MFE|R_Given_Back|Health_at_MFE|Health_Decay|VWAP_Same|SMA_Same|Structure_Same|CVD_Same|Is_First_Flip|Actual_Exit_Price|Actual_Exit_Time|Actual_R|Exit_Reason|MFE_R|MAE_R|Win|
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
|GOOGL_122225_EPCH4_0936|2025-12-22 00:00:00|GOOGL|SHORT|EPCH4|0.0000|ENTRY|2025-12-22 09:40:00|0.0000|306.8800|-0.8203|6.0000|0.0000|STABLE|307.0654|308.7905|309.2444|-0.4539|WIDENING|182.0900|-1333382.0000|-0.8503|BEAR|BULL|BULL|BULL|-1.0000|STOP||||||||||||||||||
|GOOGL_122225_EPCH4_0936|2025-12-22 00:00:00|GOOGL|SHORT|EPCH4|0.0000|MFE|2025-12-22 09:40:00|0.0000|305.8300|-0.8130|6.0000|0.0000|STABLE|307.0654|308.7905|309.2444|-0.4539|WIDENING|182.0900|-1333382.0000|-0.8503|BEAR|BULL|BULL|BULL|-1.0000|STOP||||||||||||||||||
|GOOGL_122225_EPCH4_0936|2025-12-22 00:00:00|GOOGL|SHORT|EPCH4|0.0000|MAE|2025-12-22 09:40:00|0.0000|307.1280|-0.8130|6.0000|0.0000|STABLE|307.0654|308.7905|309.2444|-0.4539|WIDENING|182.0900|-1333382.0000|-0.8503|BEAR|BULL|BULL|BULL|-1.0000|STOP||||||||||||||||||
|GOOGL_122225_EPCH4_0936|2025-12-22 00:00:00|GOOGL|SHORT|EPCH4|0.0000|EXIT|2025-12-22 09:40:00|0.0000|306.8800|-0.8203|6.0000|0.0000|STABLE|307.0654|308.7905|309.2444|-0.4539|WIDENING|182.0900|-1333382.0000|-0.8503|BEAR|BULL|BULL|BULL|-1.0000|STOP||||||||||||||||||
|GOOGL_122225_EPCH4_0937|2025-12-22 00:00:00|GOOGL|SHORT|EPCH4|0.0000|ENTRY|2025-12-22 09:40:00|0.0000|306.8800|-0.8296|6.0000|0.0000|STABLE|307.0654|308.7905|309.2444|-0.4539|WIDENING|182.0900|-1333382.0000|-0.8503|BEAR|BULL|BULL|BULL|-1.0000|STOP||||||||||||||||||
|GOOGL_122225_EPCH4_0937|2025-12-22 00:00:00|GOOGL|SHORT|EPCH4|0.0000|MFE|2025-12-22 09:40:00|0.0000|305.8300|-0.7810|6.0000|0.0000|STABLE|307.0654|308.7905|309.2444|-0.4539|WIDENING|182.0900|-1333382.0000|-0.8503|BEAR|BULL|BULL|BULL|-1.0000|STOP||||||||||||||||||
|GOOGL_122225_EPCH4_0937|2025-12-22 00:00:00|GOOGL|SHORT|EPCH4|0.0000|MAE|2025-12-22 09:40:00|0.0000|307.1280|-0.7810|6.0000|0.0000|STABLE|307.0654|308.7905|309.2444|-0.4539|WIDENING|182.0900|-1333382.0000|-0.8503|BEAR|BULL|BULL|BULL|-1.0000|STOP||||||||||||||||||
|GOOGL_122225_EPCH4_0937|2025-12-22 00:00:00|GOOGL|SHORT|EPCH4|0.0000|EXIT|2025-12-22 09:40:00|0.0000|306.8800|-0.8296|6.0000|0.0000|STABLE|307.0654|308.7905|309.2444|-0.4539|WIDENING|182.0900|-1333382.0000|-0.8503|BEAR|BULL|BULL|BULL|-1.0000|STOP||||||||||||||||||
|GOOGL_122225_EPCH4_0938|2025-12-22 00:00:00|GOOGL|SHORT|EPCH4|0.0000|ENTRY|2025-12-22 09:40:00|0.0000|306.8800|-0.8160|6.0000|0.0000|STABLE|307.0654|308.7905|309.2444|-0.4539|WIDENING|182.0900|-1333382.0000|-0.8503|BEAR|BULL|BULL|BULL|-1.0000|STOP||||||||||||||||||
|GOOGL_122225_EPCH4_0938|2025-12-22 00:00:00|GOOGL|SHORT|EPCH4|0.0000|MFE|2025-12-22 09:40:00|0.0000|305.8300|-0.8160|6.0000|0.0000|STABLE|307.0654|308.7905|309.2444|-0.4539|WIDENING|182.0900|-1333382.0000|-0.8503|BEAR|BULL|BULL|BULL|-1.0000|STOP||||||||||||||||||
|GOOGL_122225_EPCH4_0938|2025-12-22 00:00:00|GOOGL|SHORT|EPCH4|0.0000|MAE|2025-12-22 09:40:00|0.0000|307.1280|-0.8160|6.0000|0.0000|STABLE|307.0654|308.7905|309.2444|-0.4539|WIDENING|182.0900|-1333382.0000|-0.8503|BEAR|BULL|BULL|BULL|-1.0000|STOP||||||||||||||||||
|GOOGL_122225_EPCH4_0938|2025-12-22 00:00:00|GOOGL|SHORT|EPCH4|0.0000|EXIT|2025-12-22 09:40:00|0.0000|306.8800|-0.8160|6.0000|0.0000|STABLE|307.0654|308.7905|309.2444|-0.4539|WIDENING|182.0900|-1333382.0000|-0.8503|BEAR|BULL|BULL|BULL|-1.0000|STOP||||||||||||||||||
|GOOGL_122225_EPCH4_0939|2025-12-22 00:00:00|GOOGL|SHORT|EPCH4|0.0000|ENTRY|2025-12-22 09:40:00|0.0000|306.8800|-0.8153|6.0000|0.0000|STABLE|307.0654|308.7905|309.2444|-0.4539|WIDENING|182.0900|-1333382.0000|-0.8503|BEAR|BULL|BULL|BULL|-1.0000|STOP||||||||||||||||||
|GOOGL_122225_EPCH4_0939|2025-12-22 00:00:00|GOOGL|SHORT|EPCH4|0.0000|MFE|2025-12-22 09:40:00|0.0000|305.8300|-0.8153|6.0000|0.0000|STABLE|307.0654|308.7905|309.2444|-0.4539|WIDENING|182.0900|-1333382.0000|-0.8503|BEAR|BULL|BULL|BULL|-1.0000|STOP||||||||||||||||||
|GOOGL_122225_EPCH4_0939|2025-12-22 00:00:00|GOOGL|SHORT|EPCH4|0.0000|MAE|2025-12-22 09:40:00|0.0000|307.1280|-0.8153|6.0000|0.0000|STABLE|307.0654|308.7905|309.2444|-0.4539|WIDENING|182.0900|-1333382.0000|-0.8503|BEAR|BULL|BULL|BULL|-1.0000|STOP||||||||||||||||||
|GOOGL_122225_EPCH4_0939|2025-12-22 00:00:00|GOOGL|SHORT|EPCH4|0.0000|EXIT|2025-12-22 09:40:00|0.0000|306.8800|-0.8153|6.0000|0.0000|STABLE|307.0654|308.7905|309.2444|-0.4539|WIDENING|182.0900|-1333382.0000|-0.8503|BEAR|BULL|BULL|BULL|-1.0000|STOP||||||||||||||||||
|GOOGL_122225_EPCH3_0941|2025-12-22 00:00:00|GOOGL|LONG|EPCH3|1.0000|ENTRY|2025-12-22 09:45:00|0.0000|306.9000|-0.1869|5.0000|0.0000|STABLE|307.0603|308.4928|309.1316|-0.6388|WIDENING|171.9200|-1535929.0000|-1.0518|BEAR|BULL|BULL|BULL|2.6402|EOD||||||||||||||||||
|GOOGL_122225_EPCH3_0941|2025-12-22 00:00:00|GOOGL|LONG|EPCH3|1.0000|MFE|2025-12-22 15:30:00|69.0000|310.1300|2.8037|10.0000|5.0000|IMPROVING|308.0993|309.6065|309.1563|0.4502|WIDENING|37.1800|514008.0000|0.7755|BULL|BULL|BULL|BULL|2.6402|EOD||||||||||||||||||
|GOOGL_122225_EPCH3_0941|2025-12-22 00:00:00|GOOGL|LONG|EPCH3|1.0000|MAE|2025-12-22 09:55:00|2.0000|306.3800|0.2056|7.0000|2.0000|IMPROVING|307.0319|307.8530|308.8799|-1.0269|WIDENING|59.2100|-339211.0000|-1.2056|BEAR|BULL|BULL|BULL|2.6402|EOD||||||||||||||||||
|GOOGL_122225_EPCH3_0941|2025-12-22 00:00:00|GOOGL|LONG|EPCH3|1.0000|EXIT|2025-12-22 15:45:00|72.0000|309.8100|2.5327|10.0000|5.0000|IMPROVING|308.1614|309.7598|309.2951|0.4647|WIDENING|37.7900|616556.0000|0.9801|BULL|BULL|BULL|BULL|2.6402|EOD||||||||||||||||||
|GOOGL_122225_EPCH4_0945|2025-12-22 00:00:00|GOOGL|LONG|EPCH4|1.0000|ENTRY|2025-12-22 09:50:00|0.0000|306.5627|-0.5113|5.0000|0.0000|STABLE|307.0303|308.1242|308.9966|-0.8724|WIDENING|194.5500|-1853651.0000|-1.0990|BEAR|BULL|BULL|BULL|2.5734|EOD||||||||||||||||||
|GOOGL_122225_EPCH4_0945|2025-12-22 00:00:00|GOOGL|LONG|EPCH4|1.0000|MFE|2025-12-22 15:30:00|68.0000|310.1300|2.7339|10.0000|5.0000|IMPROVING|308.0993|309.6065|309.1563|0.4502|WIDENING|37.1800|514008.0000|0.7755|BULL|BULL|BULL|BULL|2.5734|EOD||||||||||||||||||
|GOOGL_122225_EPCH4_0945|2025-12-22 00:00:00|GOOGL|LONG|EPCH4|1.0000|MAE|2025-12-22 09:55:00|1.0000|306.3800|0.1835|7.0000|2.0000|IMPROVING|307.0319|307.8530|308.8799|-1.0269|WIDENING|59.2100|-339211.0000|-1.2056|BEAR|BULL|BULL|BULL|2.5734|EOD||||||||||||||||||
|GOOGL_122225_EPCH4_0945|2025-12-22 00:00:00|GOOGL|LONG|EPCH4|1.0000|EXIT|2025-12-22 15:45:00|71.0000|309.8100|2.4679|10.0000|5.0000|IMPROVING|308.1614|309.7598|309.2951|0.4647|WIDENING|37.7900|616556.0000|0.9801|BULL|BULL|BULL|BULL|2.5734|EOD||||||||||||||||||
|GOOGL_122225_EPCH4_0946|2025-12-22 00:00:00|GOOGL|LONG|EPCH4|1.0000|ENTRY|2025-12-22 09:50:00|0.0000|306.5627|-0.5524|5.0000|0.0000|STABLE|307.0303|308.1242|308.9966|-0.8724|WIDENING|194.5500|-1853651.0000|-1.0990|BEAR|BULL|BULL|BULL|2.2731|EOD||||||||||||||||||
|GOOGL_122225_EPCH4_0946|2025-12-22 00:00:00|GOOGL|LONG|EPCH4|1.0000|MFE|2025-12-22 15:30:00|68.0000|310.1300|2.4202|10.0000|5.0000|IMPROVING|308.0993|309.6065|309.1563|0.4502|WIDENING|37.1800|514008.0000|0.7755|BULL|BULL|BULL|BULL|2.2731|EOD||||||||||||||||||
|GOOGL_122225_EPCH4_0946|2025-12-22 00:00:00|GOOGL|LONG|EPCH4|1.0000|MAE|2025-12-22 09:55:00|1.0000|306.3800|0.0840|7.0000|2.0000|IMPROVING|307.0319|307.8530|308.8799|-1.0269|WIDENING|59.2100|-339211.0000|-1.2056|BEAR|BULL|BULL|BULL|2.2731|EOD||||||||||||||||||
|GOOGL_122225_EPCH4_0946|2025-12-22 00:00:00|GOOGL|LONG|EPCH4|1.0000|EXIT|2025-12-22 15:45:00|71.0000|309.8100|2.1765|10.0000|5.0000|IMPROVING|308.1614|309.7598|309.2951|0.4647|WIDENING|37.7900|616556.0000|0.9801|BULL|BULL|BULL|BULL|2.2731|EOD||||||||||||||||||
|GOOGL_122225_EPCH4_0947|2025-12-22 00:00:00|GOOGL|LONG|EPCH4|1.0000|ENTRY|2025-12-22 09:50:00|0.0000|306.5627|-0.5486|5.0000|0.0000|STABLE|307.0303|308.1242|308.9966|-0.8724|WIDENING|194.5500|-1853651.0000|-1.0990|BEAR|BULL|BULL|BULL|2.3008|EOD||||||||||||||||||
|GOOGL_122225_EPCH4_0947|2025-12-22 00:00:00|GOOGL|LONG|EPCH4|1.0000|MFE|2025-12-22 15:30:00|68.0000|310.1300|2.7169|10.0000|5.0000|IMPROVING|308.0993|309.6065|309.1563|0.4502|WIDENING|37.1800|514008.0000|0.7755|BULL|BULL|BULL|BULL|2.5571|EOD||||||||||||||||||
|GOOGL_122225_EPCH4_0947|2025-12-22 00:00:00|GOOGL|LONG|EPCH4|1.0000|MAE|2025-12-22 09:55:00|1.0000|306.3800|0.1781|7.0000|2.0000|IMPROVING|307.0319|307.8530|308.8799|-1.0269|WIDENING|59.2100|-339211.0000|-1.2056|BEAR|BULL|BULL|BULL|2.5571|EOD||||||||||||||||||
|GOOGL_122225_EPCH4_0947|2025-12-22 00:00:00|GOOGL|LONG|EPCH4|1.0000|EXIT|2025-12-22 15:45:00|71.0000|309.8100|2.2034|10.0000|5.0000|IMPROVING|308.1614|309.7598|309.2951|0.4647|WIDENING|37.7900|616556.0000|0.9801|BULL|BULL|BULL|BULL|2.3008|EOD||||||||||||||||||
|GOOGL_122225_EPCH4_0948|2025-12-22 00:00:00|GOOGL|LONG|EPCH4|1.0000|ENTRY|2025-12-22 09:50:00|0.0000|306.5627|-0.4998|5.0000|0.0000|STABLE|307.0303|308.1242|308.9966|-0.8724|WIDENING|194.5500|-1853651.0000|-1.0990|BEAR|BULL|BULL|BULL|2.6573|EOD||||||||||||||||||
