================================================================================
EPOCH BACKTEST WORKSHEET REPORT
Generated for Claude AI Review
================================================================================
Report Generated: 2025-12-30 16:29:32
Workbook: epoch_v1.xlsm
Worksheet: backtest

PURPOSE: This report contains raw data and summary statistics from
the backtest worksheet for validation and analysis by Claude AI.
================================================================================

SUMMARY STATISTICS
----------------------------------------
Total Trades:    235
Wins:            85
Losses:          150
Win Rate:        36.2%
Total P&L:       -67.13R
Average R:       -0.29R
Profit Factor:   0.51
Gross Profit:    +68.77R
Gross Loss:      +135.90R

BY MODEL:
  EPCH2: 130 trades, 57% WR, +13.32R
  EPCH3: 6 trades, 17% WR, -4.52R
  EPCH4: 97 trades, 10% WR, -73.93R
  EPCH1: 2 trades, 0% WR, -2.00R

BY EXIT REASON:
  EOD: 100 trades, +55.87R
  STOP: 132 trades, -132.00R
  TARGET_3R: 3 trades, +9.00R

BY DIRECTION:
  SHORT: 69 trades, 67% WR, +21.04R
  LONG: 166 trades, 23% WR, -88.16R

RAW DATA
----------------------------------------
|trade_id|date|ticker|model|zone_type|direction|zone_high|zone_low|entry_price|entry_time|stop_price|target_3r|target_calc|target_used|exit_price|exit_time|exit_reason|pnl_dollars|pnl_r|risk|win|
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
|AAPL_123025_EPCH2_0931|2025-12-30 00:00:00|AAPL|EPCH2|PRIMARY|SHORT|274.0500|273.5900|273.5000|0.3965|274.1000|271.7000|278.8500|271.7000|273.0200|0.6597|EOD|0.4800|0.8000|0.6000|1.0000|
|AAPL_123025_EPCH2_0931|2025-12-30 00:00:00|AAPL|EPCH2|PRIMARY|SHORT|274.0500|273.5900|273.5899|0.3969|274.1000|272.0596|278.8500|272.0596|273.0200|0.6597|EOD|0.5699|1.1172|0.5101|1.0000|
|AAPL_123025_EPCH2_0932|2025-12-30 00:00:00|AAPL|EPCH2|PRIMARY|SHORT|274.0500|273.5900|273.3800|0.3974|274.1000|271.2200|278.8500|271.2200|273.0200|0.6597|EOD|0.3600|0.5000|0.7200|1.0000|
|AAPL_123025_EPCH2_0941|2025-12-30 00:00:00|AAPL|EPCH2|PRIMARY|SHORT|274.0500|273.5900|273.5850|0.4035|274.1000|272.0400|278.8500|272.0400|273.0200|0.6597|EOD|0.5650|1.0971|0.5150|1.0000|
|AAPL_123025_EPCH2_0941|2025-12-30 00:00:00|AAPL|EPCH2|PRIMARY|SHORT|274.0500|273.5900|273.4900|0.4036|274.1000|271.6600|278.8500|271.6600|273.0200|0.6597|EOD|0.4700|0.7705|0.6100|1.0000|
|AAPL_123025_EPCH2_0942|2025-12-30 00:00:00|AAPL|EPCH2|PRIMARY|SHORT|274.0500|273.5900|273.5600|0.4045|274.1000|271.9400|278.8500|271.9400|273.0200|0.6597|EOD|0.5400|1.0000|0.5400|1.0000|
|AAPL_123025_EPCH2_0942|2025-12-30 00:00:00|AAPL|EPCH2|PRIMARY|SHORT|274.0500|273.5900|273.4500|0.4047|274.1000|271.5000|278.8500|271.5000|273.0200|0.6597|EOD|0.4300|0.6615|0.6500|1.0000|
|AAPL_123025_EPCH2_0948|2025-12-30 00:00:00|AAPL|EPCH2|PRIMARY|SHORT|274.0500|273.5900|273.5500|0.4087|274.1000|271.9000|278.8500|271.9000|273.0200|0.6597|EOD|0.5300|0.9636|0.5500|1.0000|
|AAPL_123025_EPCH2_0948|2025-12-30 00:00:00|AAPL|EPCH2|PRIMARY|SHORT|274.0500|273.5900|273.5300|0.4089|274.1000|271.8200|278.8500|271.8200|273.0200|0.6597|EOD|0.5100|0.8947|0.5700|1.0000|
|AAPL_123025_EPCH2_0950|2025-12-30 00:00:00|AAPL|EPCH2|PRIMARY|SHORT|274.0500|273.5900|273.5800|0.4097|274.1000|272.0200|278.8500|272.0200|273.0200|0.6597|EOD|0.5600|1.0769|0.5200|1.0000|
|AAPL_123025_EPCH2_0950|2025-12-30 00:00:00|AAPL|EPCH2|PRIMARY|SHORT|274.0500|273.5900|273.5635|0.4099|274.1000|271.9540|278.8500|271.9540|273.0200|0.6597|EOD|0.5435|1.0130|0.5365|1.0000|
|AAPL_123025_EPCH2_0952|2025-12-30 00:00:00|AAPL|EPCH2|PRIMARY|SHORT|274.0500|273.5900|273.5800|0.4116|274.1000|272.0200|278.8500|272.0200|273.0200|0.6597|EOD|0.5600|1.0769|0.5200|1.0000|
|AAPL_123025_EPCH2_0953|2025-12-30 00:00:00|AAPL|EPCH2|PRIMARY|SHORT|274.0500|273.5900|273.5580|0.4123|274.1000|271.9320|278.8500|271.9320|273.0200|0.6597|EOD|0.5380|0.9926|0.5420|1.0000|
|AMD_123025_EPCH2_0932|2025-12-30 00:00:00|AMD|EPCH2|PRIMARY|LONG|215.4600|214.3400|215.4747|0.3972|214.2900|219.0288|161.2800|219.0288|215.2500|0.6597|EOD|-0.2247|-0.1897|1.1847|0.0000|
|AMD_123025_EPCH2_0932|2025-12-30 00:00:00|AMD|EPCH2|PRIMARY|LONG|215.4600|214.3400|215.4700|0.3976|214.2900|219.0100|161.2800|219.0100|215.2500|0.6597|EOD|-0.2200|-0.1864|1.1800|0.0000|
|AMD_123025_EPCH2_0934|2025-12-30 00:00:00|AMD|EPCH2|PRIMARY|LONG|215.4600|214.3400|215.7250|0.3986|214.2900|220.0300|161.2800|220.0300|215.2500|0.6597|EOD|-0.4750|-0.3310|1.4350|0.0000|
|AMD_123025_EPCH2_0940|2025-12-30 00:00:00|AMD|EPCH2|PRIMARY|LONG|215.4600|214.3400|215.5400|0.4033|214.2900|219.2900|161.2800|219.2900|215.2500|0.6597|EOD|-0.2900|-0.2320|1.2500|0.0000|
|AMD_123025_EPCH2_0946|2025-12-30 00:00:00|AMD|EPCH2|PRIMARY|LONG|215.4600|214.3400|215.4850|0.4075|214.2900|219.0700|161.2800|219.0700|215.2500|0.6597|EOD|-0.2350|-0.1967|1.1950|0.0000|
|AMD_123025_EPCH2_0948|2025-12-30 00:00:00|AMD|EPCH2|PRIMARY|LONG|215.4600|214.3400|215.5375|0.4089|214.2900|219.2800|161.2800|219.2800|215.2500|0.6597|EOD|-0.2875|-0.2305|1.2475|0.0000|
|AMD_123025_EPCH2_1052|2025-12-30 00:00:00|AMD|EPCH2|PRIMARY|LONG|215.4600|214.3400|215.4900|0.4528|214.2900|219.0900|161.2800|219.0900|215.2500|0.6597|EOD|-0.2400|-0.2000|1.2000|0.0000|
|AMD_123025_EPCH2_1052|2025-12-30 00:00:00|AMD|EPCH2|PRIMARY|LONG|215.4600|214.3400|215.4700|0.4533|214.2900|219.0100|161.2800|219.0100|215.2500|0.6597|EOD|-0.2200|-0.1864|1.1800|0.0000|
|AMD_123025_EPCH2_1053|2025-12-30 00:00:00|AMD|EPCH2|PRIMARY|LONG|215.4600|214.3400|215.5100|0.4535|214.2900|219.1700|161.2800|219.1700|215.2500|0.6597|EOD|-0.2600|-0.2131|1.2200|0.0000|
|AMD_123025_EPCH2_1056|2025-12-30 00:00:00|AMD|EPCH2|PRIMARY|LONG|215.4600|214.3400|215.5000|0.4556|214.2900|219.1300|161.2800|219.1300|215.2500|0.6597|EOD|-0.2500|-0.2066|1.2100|0.0000|
|AMD_123025_EPCH2_1057|2025-12-30 00:00:00|AMD|EPCH2|PRIMARY|LONG|215.4600|214.3400|215.5200|0.4562|214.2900|219.2100|161.2800|219.2100|215.2500|0.6597|EOD|-0.2700|-0.2195|1.2300|0.0000|
|AMD_123025_EPCH2_1057|2025-12-30 00:00:00|AMD|EPCH2|PRIMARY|LONG|215.4600|214.3400|215.4792|0.4564|214.2900|219.0468|161.2800|219.0468|215.2500|0.6597|EOD|-0.2292|-0.1927|1.1892|0.0000|
|AMD_123025_EPCH2_1057|2025-12-30 00:00:00|AMD|EPCH2|PRIMARY|LONG|215.4600|214.3400|215.5000|0.4566|214.2900|219.1300|161.2800|219.1300|215.2500|0.6597|EOD|-0.2500|-0.2066|1.2100|0.0000|
|AMD_123025_EPCH2_1138|2025-12-30 00:00:00|AMD|EPCH2|PRIMARY|LONG|215.4600|214.3400|215.4999|0.4847|214.2900|219.1296|161.2800|219.1296|215.2500|0.6597|EOD|-0.2499|-0.2065|1.2099|0.0000|
|AMD_123025_EPCH2_1138|2025-12-30 00:00:00|AMD|EPCH2|PRIMARY|LONG|215.4600|214.3400|215.5005|0.4849|214.2900|219.1320|161.2800|219.1320|215.2500|0.6597|EOD|-0.2505|-0.2069|1.2105|0.0000|
|AMD_123025_EPCH2_1138|2025-12-30 00:00:00|AMD|EPCH2|PRIMARY|LONG|215.4600|214.3400|215.4731|0.4851|214.2900|219.0224|161.2800|219.0224|215.2500|0.6597|EOD|-0.2231|-0.1886|1.1831|0.0000|
|AMD_123025_EPCH2_1141|2025-12-30 00:00:00|AMD|EPCH2|PRIMARY|LONG|215.4600|214.3400|215.4700|0.4873|214.2900|219.0100|161.2800|219.0100|215.2500|0.6597|EOD|-0.2200|-0.1864|1.1800|0.0000|
|AVGO_123025_EPCH2_0957|2025-12-30 00:00:00|AVGO|EPCH2|PRIMARY|SHORT|352.6600|351.3800|351.3350|0.4148|352.7100|347.2100|360.0000|347.2100|349.7850|0.6597|EOD|1.5500|1.1273|1.3750|1.0000|
|AVGO_123025_EPCH2_0958|2025-12-30 00:00:00|AVGO|EPCH2|PRIMARY|SHORT|352.6600|351.3800|351.3744|0.4153|352.7100|347.3676|360.0000|347.3676|349.7850|0.6597|EOD|1.5894|1.1900|1.3356|1.0000|
|AVGO_123025_EPCH2_0958|2025-12-30 00:00:00|AVGO|EPCH2|PRIMARY|SHORT|352.6600|351.3800|351.3200|0.4155|352.7100|347.1500|360.0000|347.1500|349.7850|0.6597|EOD|1.5350|1.1043|1.3900|1.0000|
|AVGO_123025_EPCH2_0958|2025-12-30 00:00:00|AVGO|EPCH2|PRIMARY|SHORT|352.6600|351.3800|351.2900|0.4156|352.7100|347.0300|360.0000|347.0300|349.7850|0.6597|EOD|1.5050|1.0599|1.4200|1.0000|
|AVGO_123025_EPCH2_1052|2025-12-30 00:00:00|AVGO|EPCH2|PRIMARY|SHORT|352.6600|351.3800|351.3600|0.4533|352.7100|347.3100|360.0000|347.3100|349.7850|0.6597|EOD|1.5750|1.1667|1.3500|1.0000|
|AVGO_123025_EPCH2_1053|2025-12-30 00:00:00|AVGO|EPCH2|PRIMARY|SHORT|352.6600|351.3800|351.3500|0.4535|352.7100|347.2700|360.0000|347.2700|349.7850|0.6597|EOD|1.5650|1.1507|1.3600|1.0000|
|AVGO_123025_EPCH2_1053|2025-12-30 00:00:00|AVGO|EPCH2|PRIMARY|SHORT|352.6600|351.3800|351.3200|0.4536|352.7100|347.1500|360.0000|347.1500|349.7850|0.6597|EOD|1.5350|1.1043|1.3900|1.0000|
|AVGO_123025_EPCH2_1104|2025-12-30 00:00:00|AVGO|EPCH2|PRIMARY|SHORT|352.6600|351.3800|351.2550|0.4616|352.7100|346.8900|360.0000|346.8900|349.7850|0.6597|EOD|1.4700|1.0103|1.4550|1.0000|
|AVGO_123025_EPCH2_1136|2025-12-30 00:00:00|AVGO|EPCH2|PRIMARY|SHORT|352.6600|351.3800|351.3500|0.4837|352.7100|347.2700|360.0000|347.2700|349.7850|0.6597|EOD|1.5650|1.1507|1.3600|1.0000|
|AVGO_123025_EPCH2_1136|2025-12-30 00:00:00|AVGO|EPCH2|PRIMARY|SHORT|352.6600|351.3800|351.2700|0.4839|352.7100|346.9500|360.0000|346.9500|349.7850|0.6597|EOD|1.4850|1.0312|1.4400|1.0000|
|AVGO_123025_EPCH2_1308|2025-12-30 00:00:00|AVGO|EPCH2|PRIMARY|SHORT|352.6600|351.3800|351.3699|0.5472|352.7100|347.3496|360.0000|347.3496|349.7850|0.6597|EOD|1.5849|1.1827|1.3401|1.0000|
