================================================================================
EPOCH OPTIMAL TRADE WORKSHEET REPORT
Generated for Claude AI Review
================================================================================
Report Generated: 2025-12-30 16:29:33
Workbook: epoch_v1.xlsm
Worksheet: optimal_trade
Schema: v3.1 (45 columns, A-AS)

PURPOSE: This report contains expanded analysis data for each bar
of each trade, enabling AI-driven pattern discovery for exit optimization.

STRUCTURE: 1 row per bar per trade (~N trades x ~28 bars = 1,500+ rows)
Each row answers: 'If I exited HERE, what would happen?'
================================================================================

SUMMARY STATISTICS
----------------------------------------
Total Decision Points: 684
Unique Trades:         171
Avg Bars per Trade:    4.0

Avg R if Exit:         +239.09R
Avg MFE R:             +338.06R
Avg Actual R:          +0.00R
Capture Rate:          0.0%

WIN/LOSS (by exit rows):
  Wins:                0
  Losses:              0
  Win Rate:            0.0%

DECAY ANALYSIS (Post-MFE):
  Post-MFE Rows:       0
  Avg R Given Back:    0.00R
  First Flip Events:   0
  Avg R at First Flip: +0.00R

HEALTH SCORE -> AVERAGE R IF EXIT:
  Health 1: 2 bars, +459.48R avg, 100% win
  Health 0: 662 bars, +233.72R avg, 100% win
  Health -1: 18 bars, +387.36R avg, 100% win
  Health -2: 2 bars, +461.36R avg, 100% win

RAW DATA
----------------------------------------
|Trade_ID|Date|Ticker|Direction|Model|Entry_Health|Entry_Label|Entry_VWAP|Entry_Trend|Entry_Structure|Bar_Seq|Bar_Time|Bars_From_Entry|Bars_From_MFE|Event_Type|Price|R_If_Exit|Health|VWAP|SMA9|SMA21|Volume|Swing_High|Health_vs_Entry|R_vs_MFE|R_vs_Actual|Is_MFE|Is_Exit|Is_Post_MFE|Bars_After_MFE|R_Given_Back|Health_at_MFE|Health_Decay|VWAP_Same|SMA_Same|Structure_Same|CVD_Same|Is_First_Flip|Actual_Exit_Price|Actual_Exit_Time|Actual_R|Exit_Reason|MFE_R|MAE_R|Win|
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
|AAPL_123025_EPCH2_0931|2025-12-30 00:00:00|AAPL|SHORT|EPCH2|1.0000|ENTRY|2025-12-30 09:35:00|0.0000|273.1700|0.8232|6.0000|0.0000|STABLE|273.1543|272.9954|273.0153|-0.0199|NARROWING|646.9700|-754151.0000|-0.6277|BEAR|BEAR|BEAR|BULL|1.1172|EOD||||||||||||||||||
|AAPL_123025_EPCH2_0931|2025-12-30 00:00:00|AAPL|SHORT|EPCH2|1.0000|MFE|2025-12-30 12:00:00|29.0000|272.2800|1.9333|7.0000|1.0000|IMPROVING|272.9664|272.6372|272.7469|-0.1097|NARROWING|-25.3000|-73808.0000|-0.9741|BEAR|BEAR|BEAR|BULL|0.8000|EOD||||||||||||||||||
|AAPL_123025_EPCH2_0931|2025-12-30 00:00:00|AAPL|SHORT|EPCH2|1.0000|MAE|2025-12-30 09:55:00|4.0000|273.8500|-0.2333|7.0000|1.0000|IMPROVING|273.2934|273.2254|273.1166|0.1088|WIDENING|91.5000|375506.0000|-1.0032|BEAR|BEAR|BEAR|BULL|0.8000|EOD||||||||||||||||||
|AAPL_123025_EPCH2_0931|2025-12-30 00:00:00|AAPL|SHORT|EPCH2|1.0000|EXIT|2025-12-30 15:45:00|74.0000|273.0800|0.9996|7.0000|1.0000|IMPROVING|273.0276|273.2305|273.2813|-0.0508|WIDENING|55.9000|-198050.0000|-0.3870|BULL|BEAR|BEAR|BULL|1.1172|EOD||||||||||||||||||
|AAPL_123025_EPCH2_0932|2025-12-30 00:00:00|AAPL|SHORT|EPCH2|1.0000|ENTRY|2025-12-30 09:35:00|0.0000|273.1700|0.2917|6.0000|0.0000|STABLE|273.1543|272.9954|273.0153|-0.0199|NARROWING|646.9700|-754151.0000|-0.6277|BEAR|BEAR|BEAR|BULL|0.5000|EOD||||||||||||||||||
|AAPL_123025_EPCH2_0932|2025-12-30 00:00:00|AAPL|SHORT|EPCH2|1.0000|MFE|2025-12-30 12:00:00|29.0000|272.2800|1.4444|7.0000|1.0000|IMPROVING|272.9664|272.6372|272.7469|-0.1097|NARROWING|-25.3000|-73808.0000|-0.9741|BEAR|BEAR|BEAR|BULL|0.5000|EOD||||||||||||||||||
|AAPL_123025_EPCH2_0932|2025-12-30 00:00:00|AAPL|SHORT|EPCH2|1.0000|MAE|2025-12-30 09:55:00|4.0000|273.8500|-0.3611|7.0000|1.0000|IMPROVING|273.2934|273.2254|273.1166|0.1088|WIDENING|91.5000|375506.0000|-1.0032|BEAR|BEAR|BEAR|BULL|0.5000|EOD||||||||||||||||||
|AAPL_123025_EPCH2_0932|2025-12-30 00:00:00|AAPL|SHORT|EPCH2|1.0000|EXIT|2025-12-30 15:45:00|74.0000|273.0800|0.4167|7.0000|1.0000|IMPROVING|273.0276|273.2305|273.2813|-0.0508|WIDENING|55.9000|-198050.0000|-0.3870|BULL|BEAR|BEAR|BULL|0.5000|EOD||||||||||||||||||
|AAPL_123025_EPCH2_0941|2025-12-30 00:00:00|AAPL|SHORT|EPCH2|1.0000|ENTRY|2025-12-30 09:45:00|0.0000|273.6000|-0.1803|5.0000|0.0000|STABLE|273.2303|273.0943|273.0572|0.0371|NARROWING|188.1900|-649406.0000|-0.9772|BEAR|BEAR|BEAR|BULL|0.7705|EOD||||||||||||||||||
