================================================================================
EPOCH OPTIONS ANALYSIS WORKSHEET REPORT
Generated for Claude AI Review
================================================================================
Report Generated: 2025-12-30 16:29:33
Workbook: epoch_v1.xlsm
Worksheet: options_analysis
Schema: v1.0 (22 columns, A-V)

PURPOSE: This report contains options analysis data comparing
options performance to underlying equity trades for each backtest trade.

STRUCTURE: 1 row per trade with options P&L and R-multiple comparison.
================================================================================

SUMMARY STATISTICS
----------------------------------------
Total Trades:          235
Successful:            235
Failed (No Data):      0

P&L METRICS (Successful Trades Only):
  Total P&L:           $-8,152.00
  Avg P&L:             $-34.69
  Avg Return:          -5.8%

R-MULTIPLE METRICS:
  Total Options R:     -43.02R
  Avg Options R:       -0.18R
  Best Options R:      +1.65R
  Worst Options R:     -0.98R
  Avg Underlying R:    -0.29R
  Avg R Multiplier:    0.62x

WIN/LOSS ANALYSIS:
  Wins:                85
  Losses:              150
  Win Rate:            36.2%
  Outperformed Equity: 21/235

DIRECTION BREAKDOWN:
  SHORT: 69 trades, -0.08R avg, 67% win
  LONG: 166 trades, -0.22R avg, 23% win

CONTRACT TYPE BREAKDOWN:
  PUT: 69 trades, -0.08R avg, 67% win
  CALL: 166 trades, -0.22R avg, 23% win

STATUS BREAKDOWN:
  SUCCESS: 235

RAW DATA
----------------------------------------
|Trade_ID|Ticker|Direction|Entry_Date|Entry_Time|Entry_Price|Options_Ticker|Strike|Expiration|Contract_Type|Option_Entry_Price|Option_Entry_Time|Option_Exit_Price|Option_Exit_Time|PnL_Dollars|PnL_Percent|Option_R|Net_Return|Underlying_R|R_Multiplier|Win|Status|
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
|AAPL_123025_EPCH2_0931|AAPL|SHORT|2025-12-30 00:00:00|0.3965|273.5|O:AAPL260102P00275000|275.0000|2026-01-02 00:00:00|PUT|2.17|0.3965|2.45|0.6597|28|0.1290|0.4667|0.1290|0.8000|0.5833|1.0000|SUCCESS|
|AAPL_123025_EPCH2_0931|AAPL|SHORT|2025-12-30 00:00:00|0.3969|273.5899|O:AAPL260102P00275000|275.0000|2026-01-02 00:00:00|PUT|2.45|0.3969|2.45|0.6597|0|0.0000|0.0000|0.0000|1.1172|0.0000|1.0000|SUCCESS|
|AAPL_123025_EPCH2_0932|AAPL|SHORT|2025-12-30 00:00:00|0.3974|273.38|O:AAPL260102P00275000|275.0000|2026-01-02 00:00:00|PUT|2.57|0.3974|2.45|0.6597|-12|-0.0467|-0.1667|-0.0467|0.5000|-0.3333|1.0000|SUCCESS|
|AAPL_123025_EPCH2_0941|AAPL|SHORT|2025-12-30 00:00:00|0.4035|273.585|O:AAPL260102P00275000|275.0000|2026-01-02 00:00:00|PUT|2.36|0.4035|2.45|0.6597|9|0.0381|0.1748|0.0381|1.0971|0.1593|1.0000|SUCCESS|
|AAPL_123025_EPCH2_0941|AAPL|SHORT|2025-12-30 00:00:00|0.4036|273.49|O:AAPL260102P00275000|275.0000|2026-01-02 00:00:00|PUT|2.24|0.4036|2.45|0.6597|21|0.0937|0.3443|0.0937|0.7705|0.4468|1.0000|SUCCESS|
|AAPL_123025_EPCH2_0942|AAPL|SHORT|2025-12-30 00:00:00|0.4045|273.56|O:AAPL260102P00275000|275.0000|2026-01-02 00:00:00|PUT|2.2|0.4045|2.45|0.6597|25|0.1136|0.4630|0.1136|1.0000|0.4630|1.0000|SUCCESS|
|AAPL_123025_EPCH2_0942|AAPL|SHORT|2025-12-30 00:00:00|0.4047|273.45|O:AAPL260102P00275000|275.0000|2026-01-02 00:00:00|PUT|2.34|0.4047|2.45|0.6597|11|0.0470|0.1692|0.0470|0.6615|0.2558|1.0000|SUCCESS|
|AAPL_123025_EPCH2_0948|AAPL|SHORT|2025-12-30 00:00:00|0.4087|273.55|O:AAPL260102P00275000|275.0000|2026-01-02 00:00:00|PUT|2.31|0.4087|2.45|0.6597|14|0.0606|0.2545|0.0606|0.9636|0.2642|1.0000|SUCCESS|
|AAPL_123025_EPCH2_0948|AAPL|SHORT|2025-12-30 00:00:00|0.4089|273.53|O:AAPL260102P00275000|275.0000|2026-01-02 00:00:00|PUT|2.23|0.4089|2.45|0.6597|22|0.0987|0.3860|0.0987|0.8947|0.4314|1.0000|SUCCESS|
