================================================================================
EPOCH BACKTEST WORKSHEET REPORT
Generated for Claude AI Review
================================================================================
Report Generated: 2026-01-13 13:31:20
Workbook: epoch_v1.xlsm
Worksheet: backtest

PURPOSE: This report contains raw data and summary statistics from
the backtest worksheet for validation and analysis by Claude AI.
================================================================================

SUMMARY STATISTICS
----------------------------------------
Total Trades:    147
Wins:            86
Losses:          61
Win Rate:        58.5%
Total P&L:       +46.64R
Average R:       +0.32R
Profit Factor:   1.69
Gross Profit:    +114.47R
Gross Loss:      +67.83R

BY MODEL:
  EPCH2: 84 trades, 50% WR, -9.76R
  EPCH4: 52 trades, 75% WR, +51.27R
  EPCH3: 6 trades, 50% WR, +3.57R
  EPCH1: 5 trades, 40% WR, +1.57R

BY EXIT REASON:
  EOD: 91 trades, +58.64R
  STOP: 45 trades, -45.00R
  TARGET_3R: 11 trades, +33.00R

BY DIRECTION:
  LONG: 93 trades, 73% WR, +55.19R
  SHORT: 54 trades, 33% WR, -8.55R

RAW DATA
----------------------------------------
|trade_id|date|ticker|model|zone_type|direction|zone_high|zone_low|entry_price|entry_time|stop_price|target_3r|target_calc|target_used|exit_price|exit_time|exit_reason|pnl_dollars|pnl_r|risk|win|
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
|AMD_011326_EPCH2_0930|2026-01-13 00:00:00|AMD|EPCH2|PRIMARY|LONG|215.5700|214.4300|216.5783|0.3958|214.3226|223.3454|238.0200|238.0200|221.8200|0.6597|EOD|5.2417|2.3237|2.2557|1.0000|
|AMD_011326_EPCH2_0930|2026-01-13 00:00:00|AMD|EPCH2|PRIMARY|LONG|215.5700|214.4300|216.4000|0.3960|214.3315|222.6055|238.0200|238.0200|221.8200|0.6597|EOD|5.4200|2.6203|2.0685|1.0000|
|CSCO_011326_EPCH4_0930|2026-01-13 00:00:00|CSCO|EPCH4|SECONDARY|LONG|73.9400|73.7400|74.0500|0.3958|73.7245|75.0265|78.4100|78.4100|75.4450|0.6597|EOD|1.3950|4.2857|0.3255|1.0000|
|CSCO_011326_EPCH4_0931|2026-01-13 00:00:00|CSCO|EPCH4|SECONDARY|LONG|73.9400|73.7400|73.9600|0.3967|73.7290|74.6530|78.4100|78.4100|75.4450|0.6597|EOD|1.4850|6.4286|0.2310|1.0000|
|CSCO_011326_EPCH4_0932|2026-01-13 00:00:00|CSCO|EPCH4|SECONDARY|LONG|73.9400|73.7400|73.9700|0.3976|73.7285|74.6945|78.4100|78.4100|75.4450|0.6597|EOD|1.4750|6.1077|0.2415|1.0000|
|CSCO_011326_EPCH4_0933|2026-01-13 00:00:00|CSCO|EPCH4|SECONDARY|LONG|73.9400|73.7400|74.0011|0.3979|73.7269|74.8236|78.4100|78.4100|75.4450|0.6597|EOD|1.4439|5.2667|0.2742|1.0000|
|INTC_011326_EPCH4_0930|2026-01-13 00:00:00|INTC|EPCH4|SECONDARY|LONG|45.7600|45.4200|45.9400|0.3960|45.3940|47.5780|47.1200|47.5780|45.3940|0.3993|STOP|-0.5460|-1.0000|0.5460|0.0000|
|INTC_011326_EPCH4_0933|2026-01-13 00:00:00|INTC|EPCH4|SECONDARY|LONG|45.7600|45.4200|45.7920|0.3981|45.4014|46.9638|47.1200|47.1200|45.4014|0.3993|STOP|-0.3906|-1.0000|0.3906|0.0000|
|INTC_011326_EPCH3_0935|2026-01-13 00:00:00|INTC|EPCH3|SECONDARY|SHORT|45.7600|45.4200|45.3600|0.3995|45.7800|44.1000|47.1200|44.1000|45.7800|0.4028|STOP|-0.4200|-1.0000|0.4200|0.0000|
|INTC_011326_EPCH4_0936|2026-01-13 00:00:00|INTC|EPCH4|SECONDARY|SHORT|45.7600|45.4200|45.3700|0.4000|45.7795|44.1415|47.1200|44.1415|45.7795|0.4028|STOP|-0.4095|-1.0000|0.4095|0.0000|
|INTC_011326_EPCH4_0937|2026-01-13 00:00:00|INTC|EPCH4|SECONDARY|SHORT|45.7600|45.4200|45.3300|0.4007|45.7815|43.9755|47.1200|43.9755|45.7815|0.4028|STOP|-0.4515|-1.0000|0.4515|0.0000|
|INTC_011326_EPCH4_0937|2026-01-13 00:00:00|INTC|EPCH4|SECONDARY|SHORT|45.7600|45.4200|45.3100|0.4009|45.7825|43.8925|47.1200|43.8925|45.7825|0.4028|STOP|-0.4725|-1.0000|0.4725|0.0000|
|INTC_011326_EPCH3_0940|2026-01-13 00:00:00|INTC|EPCH3|SECONDARY|LONG|45.7600|45.4200|45.9050|0.4030|45.3957|47.4328|47.1200|47.4328|47.4328|0.4271|TARGET_3R|1.5278|3.0000|0.5093|1.0000|
|META_011326_EPCH1_0930|2026-01-13 00:00:00|META|EPCH1|PRIMARY|SHORT|643.2700|641.0300|639.8650|0.3958|643.4402|629.1393|634.0000|629.1393|629.1393|0.4167|TARGET_3R|10.7257|3.0000|3.5752|1.0000|
|MU_011326_EPCH2_0930|2026-01-13 00:00:00|MU|EPCH2|PRIMARY|LONG|346.0400|344.1600|347.3300|0.3962|344.0015|357.3155|353.5600|357.3155|344.0015|0.3993|STOP|-3.3285|-1.0000|3.3285|0.0000|
|MU_011326_EPCH4_0930|2026-01-13 00:00:00|MU|EPCH4|SECONDARY|LONG|346.0400|344.1600|347.3300|0.3962|344.0015|357.3155|276.3000|357.3155|344.0015|0.3993|STOP|-3.3285|-1.0000|3.3285|0.0000|
|MU_011326_EPCH2_0939|2026-01-13 00:00:00|MU|EPCH2|PRIMARY|SHORT|346.0400|344.1600|343.6825|0.4024|346.1579|336.2564|353.5600|336.2564|336.2564|0.6389|TARGET_3R|7.4261|3.0000|2.4754|1.0000|
|MU_011326_EPCH1_0935|2026-01-13 00:00:00|MU|EPCH1|PRIMARY|SHORT|346.0400|344.1600|343.2950|0.3998|346.1773|334.6483|353.5600|334.6483|337.5000|0.6597|EOD|5.7950|2.0106|2.8822|1.0000|
|MU_011326_EPCH3_0935|2026-01-13 00:00:00|MU|EPCH3|SECONDARY|SHORT|346.0400|344.1600|343.2950|0.3998|346.1773|334.6483|276.3000|276.3000|337.5000|0.6597|EOD|5.7950|2.0106|2.8822|1.0000|
|MU_011326_EPCH4_0939|2026-01-13 00:00:00|MU|EPCH4|SECONDARY|SHORT|346.0400|344.1600|343.6825|0.4024|346.1579|336.2564|276.3000|276.3000|337.5000|0.6597|EOD|6.1825|2.4976|2.4754|1.0000|
|NVDA_011326_EPCH1_0930|2026-01-13 00:00:00|NVDA|EPCH1|PRIMARY|SHORT|185.2300|184.5700|184.4100|0.3960|185.2710|181.8270|177.6200|177.6200|185.2710|0.4688|STOP|-0.8610|-1.0000|0.8610|0.0000|
|NVDA_011326_EPCH2_0931|2026-01-13 00:00:00|NVDA|EPCH2|PRIMARY|SHORT|185.2300|184.5700|184.2550|0.3965|185.2788|181.1837|177.6200|177.6200|185.2788|0.4688|STOP|-1.0238|-1.0000|1.0238|0.0000|
|NVDA_011326_EPCH2_0935|2026-01-13 00:00:00|NVDA|EPCH2|PRIMARY|SHORT|185.2300|184.5700|184.2400|0.3993|185.2795|181.1215|177.6200|177.6200|185.2795|0.4688|STOP|-1.0395|-1.0000|1.0395|0.0000|
|NVDA_011326_EPCH2_0935|2026-01-13 00:00:00|NVDA|EPCH2|PRIMARY|SHORT|185.2300|184.5700|184.5500|0.3998|185.2640|182.4080|177.6200|177.6200|185.2640|0.4688|STOP|-0.7140|-1.0000|0.7140|0.0000|
